log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5216,mod_jk child init 1 -2,0.3325,20.55,6
2,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9905,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.97,6
3,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.993,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.56,6
4,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9946,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.41,6
5,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9958,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.27,6
6,jk2_init() Found child 5384 in scoreboard slot 7,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9808,jk2_init() Found child <*> in scoreboard slot <*>,0.8927,mod_jk child init 1 -2,0.5895,7.62,6
7,jk2_init() Found child 5385 in scoreboard slot 8,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9746,jk2_init() Found child <*> in scoreboard slot <*>,0.8842,mod_jk child init 1 -2,0.5873,7.5,6
8,jk2_init() Found child 5386 in scoreboard slot 9,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9759,jk2_init() Found child <*> in scoreboard slot <*>,0.8997,mod_jk child init 1 -2,0.5962,7.61,6
9,jk2_init() Found child 5387 in scoreboard slot 6,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9839,jk2_init() Found child <*> in scoreboard slot <*>,0.9024,mod_jk child init 1 -2,0.5985,7.39,6
10,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5234,mod_jk child init 1 -2,0.3325,7.58,6
11,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9966,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.3,6
12,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5235,mod_jk child init 1 -2,0.3325,7.66,6
13,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9972,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.24,6
14,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5236,mod_jk child init 1 -2,0.3325,7.67,6
15,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9976,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.45,6
16,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5236,mod_jk child init 1 -2,0.3325,23.46,6
17,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.998,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.35,6
18,jk2_init() Found child 5388 in scoreboard slot 10,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9788,jk2_init() Found child <*> in scoreboard slot <*>,0.8941,mod_jk child init 1 -2,0.5916,164.64,6
19,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5237,mod_jk child init 1 -2,0.3325,20.28,6
20,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9982,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,35.34,6
