log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir62/<*>,partial,Deleting block blk_<*> file <*>,0.9665,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.921,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.4631,23.29,17
2,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir30/<*>,partial,Deleting block blk_<*> file <*>,0.9787,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9325,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.4601,17.32,17
3,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir18/<*>,partial,Deleting block blk_<*> file <*>,0.9857,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9476,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4649,16.04,17
4,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir44/<*>,partial,Deleting block blk_<*> file <*>,0.9883,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9495,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4529,15.58,17
5,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir29/<*>,exact,Deleting block blk_<*> file <*>,0.9927,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9513,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.4649,15.3,17
6,Deleting block <*> file /mnt/hadoop/dfs/data/current/<*>,exact,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,1.0,Deleting block blk_<*> file <*>,0.9547,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4877,15.04,17
7,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir31/<*>,partial,Deleting block blk_<*> file <*>,0.9706,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9205,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.4665,14.86,17
8,Receiving block <*> src: /<*> dest: /<*>,exact,Receiving block blk_<*> src: /<*> dest: /<*>,1.0,Received block blk_<*> src: /<*> dest: /<*> of size <*>,0.8091,<*> Served block blk_<*> to /<*>,0.6183,16.68,17
9,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir15/<*>,partial,Deleting block blk_<*> file <*>,0.9781,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9306,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4408,28.08,17
10,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir42/<*>,partial,Deleting block blk_<*> file <*>,0.9853,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9427,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4718,30.77,17
11,Deleting block <*> file /mnt/hadoop/dfs/data/current/<*>,exact,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,1.0,Deleting block blk_<*> file <*>,0.9547,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4877,23.9,17
12,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir19/<*>,partial,Deleting block blk_<*> file <*>,0.9845,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9401,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4525,36.2,17
13,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir19/<*>,partial,Deleting block blk_<*> file <*>,0.9847,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9401,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4525,41.43,17
14,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir48/<*>,partial,Deleting block blk_<*> file <*>,0.9832,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9331,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.468,25.55,17
15,Deleting block <*> file /mnt/hadoop/dfs/data/current/<*>,exact,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,1.0,Deleting block blk_<*> file <*>,0.9547,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4877,22.39,17
16,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir36/<*>,partial,Deleting block blk_<*> file <*>,0.9878,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.941,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4612,25.31,17
17,Receiving block <*> src: /<*> dest: /<*>,exact,Receiving block blk_<*> src: /<*> dest: /<*>,1.0,Received block blk_<*> src: /<*> dest: /<*> of size <*>,0.8091,<*> Served block blk_<*> to /<*>,0.6183,33.37,17
18,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir40/<*>,partial,Deleting block blk_<*> file <*>,0.9701,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9218,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.4717,32.29,17
19,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir16/<*>,partial,Deleting block blk_<*> file <*>,0.9741,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9276,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4597,28.64,17
20,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,exact,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,0.9997,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.5927,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.591,24.39,17
21,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,exact,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,0.9997,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.5927,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.591,24.78,17
22,Receiving block <*> src: /<*> dest: /<*>,exact,Receiving block blk_<*> src: /<*> dest: /<*>,1.0,Received block blk_<*> src: /<*> dest: /<*> of size <*>,0.8091,<*> Served block blk_<*> to /<*>,0.6183,24.83,17
23,Received block <*> of size 67108864 from /<*>,exact,Received block blk_<*> of size <*> from /<*>,0.9998,Received block blk_<*> src: /<*> dest: /<*> of size <*>,0.8363,Receiving block blk_<*> src: /<*> dest: /<*>,0.6058,32.21,17
24,PacketResponder 2 for block <*> terminating,partial,PacketResponder <*> for block blk_<*> terminating,0.9873,Receiving block blk_<*> src: /<*> dest: /<*>,0.4165,<*> Served block blk_<*> to /<*>,0.3888,24.41,17
25,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,exact,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,0.9997,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.5927,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.591,24.49,17
26,Receiving block <*> src: /<*> dest: /<*>,exact,Receiving block blk_<*> src: /<*> dest: /<*>,1.0,Received block blk_<*> src: /<*> dest: /<*> of size <*>,0.8091,<*> Served block blk_<*> to /<*>,0.6183,25.18,17
27,BLOCK* NameSystem.allocateBlock: /user/root/rand5/_temporary/_task_200811101024_0011_m_000040_0/part-00040. <*>,exact,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.9974,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,0.5926,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.5664,33.51,17
28,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,exact,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,0.9998,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.5928,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.591,24.82,17
29,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,exact,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,0.9998,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.5928,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.591,24.59,17
