log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,42.27,100
2,warning,exact,warning,1.0,critical,0.3521,not responding,0.3428,32.58,100
3,normal,exact,normal,1.0,active,0.3872,closing,0.2942,31.98,100
4,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,32.92,100
5,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,41.96,100
6,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,34.2,100
7,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,33.49,100
8,critical,exact,critical,1.0,warning,0.3521,not-responding,0.3212,43.46,100
9,normal,exact,normal,1.0,active,0.3872,closing,0.2942,46.47,100
10,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,41.56,100
11,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,43.31,100
12,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,32.87,100
13,normal,exact,normal,1.0,active,0.3872,closing,0.2942,40.95,100
14,normal,exact,normal,1.0,active,0.3872,closing,0.2942,48.98,100
15,normal,exact,normal,1.0,active,0.3872,closing,0.2942,54.52,100
16,warning,exact,warning,1.0,critical,0.3521,not responding,0.3428,61.12,100
17,warning,exact,warning,1.0,critical,0.3521,not responding,0.3428,53.64,100
18,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,49.88,100
19,normal,exact,normal,1.0,active,0.3872,closing,0.2942,42.79,100
20,critical,exact,critical,1.0,warning,0.3521,not-responding,0.3212,43.51,100
21,warning,exact,warning,1.0,critical,0.3521,not responding,0.3428,43.34,100
22,warning,exact,warning,1.0,critical,0.3521,not responding,0.3428,44.54,100
23,normal,exact,normal,1.0,active,0.3872,closing,0.2942,62.42,100
24,warning,exact,warning,1.0,critical,0.3521,not responding,0.3428,35.33,100
25,normal,exact,normal,1.0,active,0.3872,closing,0.2942,42.81,100
26,warning,exact,warning,1.0,critical,0.3521,not responding,0.3428,40.33,100
27,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,45.32,100
28,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,41.67,100
29,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,33.96,100
30,warning,exact,warning,1.0,critical,0.3521,not responding,0.3428,33.04,100
31,warning,exact,warning,1.0,critical,0.3521,not responding,0.3428,47.75,100
32,critical,exact,critical,1.0,warning,0.3521,not-responding,0.3212,60.68,100
33,warning,exact,warning,1.0,critical,0.3521,not responding,0.3428,44.37,100
34,Link ok,exact,Link ok,1.0,<*> remain current,0.4116,Link in reset,0.3542,40.08,100
35,Link ok,exact,Link ok,1.0,<*> remain current,0.4116,Link in reset,0.3542,32.38,100
36,Link ok,exact,Link ok,1.0,<*> remain current,0.4116,Link in reset,0.3542,57.53,100
37,Link ok,exact,Link ok,1.0,<*> remain current,0.4116,Link in reset,0.3542,42.05,100
38,Link error,partial,<*> remain current,0.9322,Link in reset,0.5006,Link ok,0.4831,34.0,100
39,Link error,partial,<*> remain current,0.9614,Link in reset,0.5006,Link ok,0.4831,32.81,100
40,Link in reset,exact,Link in reset,1.0,<*> remain current,0.5202,Link ok,0.3542,47.31,100
41,Link ok,exact,Link ok,1.0,<*> remain current,0.4474,Link in reset,0.3542,175.71,100
42,Link ok,exact,Link ok,1.0,<*> remain current,0.4474,Link in reset,0.3542,184.27,100
43,Link in reset,exact,Link in reset,1.0,<*> remain current,0.5202,Link ok,0.3542,47.12,100
44,Link ok,exact,Link ok,1.0,<*> remain current,0.4474,Link in reset,0.3542,170.1,100
45,Link error,partial,<*> remain current,0.9752,Link in reset,0.5006,Link ok,0.4831,61.52,100
46,Link ok,exact,Link ok,1.0,<*> remain current,0.4549,Link in reset,0.3542,54.61,100
47,Link ok,exact,Link ok,1.0,<*> remain current,0.4549,Link in reset,0.3542,41.07,100
48,Link ok,exact,Link ok,1.0,<*> remain current,0.4549,Link in reset,0.3542,32.8,100
49,Link error,partial,<*> remain current,0.9827,Link in reset,0.5006,Link ok,0.4831,38.72,100
50,Link in reset,exact,Link in reset,1.0,<*> remain current,0.5173,Link ok,0.3542,33.13,100
51,Link ok,exact,Link ok,1.0,<*> remain current,0.4599,Link in reset,0.3542,32.08,100
52,Link ok,exact,Link ok,1.0,<*> remain current,0.4599,Link in reset,0.3542,36.94,100
53,Link in reset,exact,Link in reset,1.0,<*> remain current,0.5173,Link ok,0.3542,32.26,100
54,Link in reset,exact,Link in reset,1.0,<*> remain current,0.5173,Link ok,0.3542,32.52,100
55,Link in reset,exact,Link in reset,1.0,<*> remain current,0.5173,Link ok,0.3542,32.08,100
56,Link in reset,exact,Link in reset,1.0,<*> remain current,0.5173,Link ok,0.3542,33.78,100
57,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,<*> remain current,0.4948,Link error on broadcast tree Interconnect<*>,0.3105,33.49,100
58,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,<*> remain current,0.4948,Link error on broadcast tree Interconnect<*>,0.3105,44.58,100
59,risBoot (command 1903) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,exact,risBoot (command 1903) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,1.0,risBoot (command 1903),0.7456,Command has been aborted,0.5431,33.87,100
60,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,<*> remain current,0.4948,Link error on broadcast tree Interconnect<*>,0.3105,33.0,100
61,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,<*> remain current,0.4948,Link error on broadcast tree Interconnect<*>,0.3105,44.24,100
62,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,<*> remain current,0.4948,Link error on broadcast tree Interconnect<*>,0.3105,45.45,100
63,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,<*> remain current,0.4948,Link error on broadcast tree Interconnect<*>,0.3105,54.0,100
64,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,<*> remain current,0.4948,Link error on broadcast tree Interconnect<*>,0.3105,44.61,100
65,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,<*> remain current,0.4948,Link error on broadcast tree Interconnect<*>,0.3105,62.22,100
66,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,<*> remain current,0.4948,Link error on broadcast tree Interconnect<*>,0.3105,38.23,100
67,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,<*> remain current,0.4948,Link error on broadcast tree Interconnect<*>,0.3105,54.7,100
68,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,<*> remain current,0.4948,Link error on broadcast tree Interconnect<*>,0.3105,38.44,100
