log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,calculateCaloriesWithCache totalCalories=131015,partial,calculateCaloriesWithCache totalCalories<*>,0.98,calculateAltitudeWithCache totalAltitude=240,0.6907,calculateAltitudeWithCache totalAltitude=0,0.6375,43.08,72
2,calculateAltitudeWithCache totalAltitude=240,exact,calculateAltitudeWithCache totalAltitude=240,1.0,calculateAltitudeWithCache totalAltitude=0,0.7669,calculateCaloriesWithCache totalCalories<*>,0.7048,434.65,72
3,REPORT : 7205 5144 154331 240,partial,REPORT : <*> 240,0.8901,theDayChanged <*>,0.4649,getDiffTotalSteps= <*>,0.3593,114.79,72
4,onStandStepChanged 3780,partial,onStandStepChanged <*>,0.9326,theDayChanged <*>,0.4374,REPORT : <*> 240,0.3901,31.19,72
5,onExtend:1514042086000 3 0 4,partial,onExtend<*> 0 0 4,0.9884,theDayChanged <*>,0.4592,tryToReloadTodayBasicSteps1514044800223|3786|0|0,0.4095,56.18,72
6,getTodayTotalDetailSteps = 1514041980000##7205##549659##8661##16256##30730728,partial,getTodayTotalDetailSteps = <*>,0.9757,getTodayBasicStandardSteps= <*>,0.7475,getDiffTotalSteps= <*>,0.6535,41.32,72
7,setTodayTotalDetailSteps=1514041980000##7208##549659##8661##16256##30731232,partial,getTodayTotalDetailSteps = <*>,0.9818,getTodayBasicStandardSteps= <*>,0.7163,getDiffTotalSteps= <*>,0.6073,26.52,72
8,calculateCaloriesWithCache totalCalories=131079,partial,calculateCaloriesWithCache totalCalories<*>,0.9848,calculateAltitudeWithCache totalAltitude=240,0.6814,calculateAltitudeWithCache totalAltitude=0,0.6438,25.04,72
9,calculateAltitudeWithCache totalAltitude=240,exact,calculateAltitudeWithCache totalAltitude=240,1.0,calculateAltitudeWithCache totalAltitude=0,0.7669,calculateCaloriesWithCache totalCalories<*>,0.7047,24.84,72
10,REPORT : 7208 5146 154395 240,partial,REPORT : <*> 240,0.9076,theDayChanged <*>,0.4552,getDiffTotalSteps= <*>,0.3201,24.55,72
11,onStandStepChanged 3783,partial,onStandStepChanged <*>,0.921,theDayChanged <*>,0.4568,REPORT : <*> 240,0.4384,25.02,72
12,onExtend:1514042086000 3 0 4,partial,onExtend<*> 0 0 4,0.9884,theDayChanged <*>,0.4592,tryToReloadTodayBasicSteps1514044800223|3786|0|0,0.4095,25.2,72
13,getTodayTotalDetailSteps = 1514041980000##7208##549659##8661##16256##30731232,partial,getTodayTotalDetailSteps = <*>,0.9762,getTodayBasicStandardSteps= <*>,0.7447,getDiffTotalSteps= <*>,0.6538,26.16,72
14,setTodayTotalDetailSteps=1514041980000##7211##549659##8661##16256##30731730,partial,getTodayTotalDetailSteps = <*>,0.981,getTodayBasicStandardSteps= <*>,0.7212,getDiffTotalSteps= <*>,0.6015,26.21,72
15,calculateCaloriesWithCache totalCalories=131144,partial,calculateCaloriesWithCache totalCalories<*>,0.978,calculateAltitudeWithCache totalAltitude=240,0.6902,calculateAltitudeWithCache totalAltitude=0,0.6282,25.16,72
16,calculateAltitudeWithCache totalAltitude=240,exact,calculateAltitudeWithCache totalAltitude=240,1.0,calculateAltitudeWithCache totalAltitude=0,0.7669,calculateCaloriesWithCache totalCalories<*>,0.7047,25.05,72
17,REPORT : 7211 5148 154459 240,partial,REPORT : <*> 240,0.9093,theDayChanged <*>,0.4505,onStandStepChanged <*>,0.3324,24.76,72
18,onStandStepChanged 3784,partial,onStandStepChanged <*>,0.9173,theDayChanged <*>,0.4533,REPORT : <*> 240,0.443,24.57,72
19,onExtend:1514042087000 1 0 4,partial,onExtend<*> 0 0 4,0.9849,theDayChanged <*>,0.458,tryToReloadTodayBasicSteps1514044800223|3786|0|0,0.4079,24.72,72
20,getTodayTotalDetailSteps = 1514041980000##7211##549659##8661##16256##30731730,partial,getTodayTotalDetailSteps = <*>,0.973,getTodayBasicStandardSteps= <*>,0.7476,getDiffTotalSteps= <*>,0.6499,26.23,72
21,setTodayTotalDetailSteps=1514041980000##7212##549659##8661##16256##30732729,partial,getTodayTotalDetailSteps = <*>,0.9813,getTodayBasicStandardSteps= <*>,0.7194,getDiffTotalSteps= <*>,0.6012,26.51,72
22,calculateCaloriesWithCache totalCalories=131165,partial,calculateCaloriesWithCache totalCalories<*>,0.9842,calculateAltitudeWithCache totalAltitude=240,0.6933,calculateAltitudeWithCache totalAltitude=0,0.6335,25.07,72
23,calculateAltitudeWithCache totalAltitude=240,exact,calculateAltitudeWithCache totalAltitude=240,1.0,calculateAltitudeWithCache totalAltitude=0,0.7669,calculateCaloriesWithCache totalCalories<*>,0.7047,24.86,72
24,REPORT : 7212 5149 154481 240,partial,REPORT : <*> 240,0.8869,theDayChanged <*>,0.445,onExtend<*> 0 0 4,0.341,24.4,72
25,onStandStepChanged 3786,exact,onStandStepChanged <*>,0.9979,setBasicStandardSteps basicStandardStep=3786 restartSteps=0,0.3647,theDayChanged <*>,0.3576,24.28,72
26,onExtend:1514042088000 2 0 4,partial,onExtend<*> 0 0 4,0.9836,theDayChanged <*>,0.4741,tryToReloadTodayBasicSteps1514044800223|3786|0|0,0.4206,24.6,72
27,getTodayTotalDetailSteps = 1514041980000##7212##549659##8661##16256##30732729,partial,getTodayTotalDetailSteps = <*>,0.9731,getTodayBasicStandardSteps= <*>,0.7456,getDiffTotalSteps= <*>,0.6486,26.3,72
28,setTodayTotalDetailSteps=1514041980000##7214##549659##8661##16256##30733226,partial,getTodayTotalDetailSteps = <*>,0.9831,getTodayBasicStandardSteps= <*>,0.7225,getDiffTotalSteps= <*>,0.6023,26.25,72
29,calculateCaloriesWithCache totalCalories=131208,partial,calculateCaloriesWithCache totalCalories<*>,0.9845,calculateAltitudeWithCache totalAltitude=240,0.7021,calculateAltitudeWithCache totalAltitude=0,0.6404,24.76,72
30,calculateAltitudeWithCache totalAltitude=240,exact,calculateAltitudeWithCache totalAltitude=240,1.0,calculateAltitudeWithCache totalAltitude=0,0.7669,calculateCaloriesWithCache totalCalories<*>,0.7048,24.64,72
