log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.886,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,40.27,72
2,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.8919,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,40.82,72
3,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.8974,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,33.78,72
4,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.9024,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,36.39,72
5,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.9072,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,32.58,72
6,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.9115,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,33.26,72
7,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.9156,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,36.15,72
8,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.9194,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,33.91,72
9,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.923,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,37.5,72
10,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.9263,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,54.37,72
11,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.9295,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,27.08,72
12,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.9324,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,25.04,72
13,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.9352,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,24.88,72
14,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.9378,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,40.6,72
15,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.9402,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,33.89,72
16,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.9425,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,32.79,72
17,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.9447,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,24.96,72
18,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.9467,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,40.73,72
19,connection from <*> () at Sun Jul 17 <*> 2005,partial,connection from <*> at <*> Jul <*>,0.9487,Received SNMP packet(s) from <*>,0.3619,NET: Registered protocol family 16,0.3148,39.57,72
