log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9723,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5929,26.1,15
2,Failed password for root from <*> port 52316 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.9444,<*> rhost=<*> user=root,0.5274,Invalid user cyrus from <*>,0.3083,15.27,15
3,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.8893,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,14.58,15
4,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9754,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5929,15.32,15
5,Failed password for root from <*> port 52590 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.9201,<*> rhost=<*> user=root,0.5232,Invalid user <*> from <*>,0.3359,14.7,15
6,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.9095,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,15.0,15
7,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.978,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5929,15.91,15
8,Failed password for root from <*> port 53021 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.9387,<*> rhost=<*> user=root,0.5201,Invalid user cyrus from <*>,0.3289,14.67,15
9,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.9247,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,16.52,15
10,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9803,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5928,25.66,15
11,Failed password for root from <*> port 53440 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.916,<*> rhost=<*> user=root,0.4669,Invalid user cyrus from <*>,0.3139,24.06,15
12,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.9364,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,24.38,15
13,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9822,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5927,41.89,15
14,Failed password for root from <*> port 53891 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.9207,<*> rhost=<*> user=root,0.498,Invalid user cyrus from <*>,0.3093,27.08,15
15,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.9455,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,24.02,15
16,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9838,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5927,24.98,15
17,Failed password for root from <*> port 54339 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.936,<*> rhost=<*> user=root,0.5123,Invalid user cyrus from <*>,0.338,87.61,15
18,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.9529,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,18.44,15
19,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9852,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5926,26.44,15
20,Failed password for root from <*> port 54699 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.9244,<*> rhost=<*> user=root,0.5161,Invalid user cyrus from <*>,0.3425,17.06,15
21,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.9588,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,33.25,15
22,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9865,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5926,25.24,15
23,Failed password for root from <*> port 55069 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.9047,<*> rhost=<*> user=root,0.5311,Invalid user cyrus from <*>,0.3337,24.66,15
24,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.9637,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,25.1,15
25,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9876,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5926,36.3,15
26,Failed password for root from <*> port 55577 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.886,<*> rhost=<*> user=root,0.5131,Invalid user cyrus from <*>,0.3028,158.72,15
27,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.9678,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,17.28,15
28,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9886,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5926,37.9,15
29,Failed password for root from <*> port 55956 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.9528,<*> rhost=<*> user=root,0.5264,Invalid user cyrus from <*>,0.3212,24.77,15
30,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.9712,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,24.34,15
31,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9894,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5926,24.66,15
32,Failed password for root from <*> port 56319 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.9547,<*> rhost=<*> user=root,0.5302,Invalid user cyrus from <*>,0.3268,33.16,15
33,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.9742,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,25.38,15
34,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,exact,<*> rhost=<*> user=root,0.9902,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5925,91.87,15
35,Failed password for root from <*> port 56847 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.9489,<*> rhost=<*> user=root,0.5044,Invalid user cyrus from <*>,0.3281,20.74,15
36,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.9766,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,29.88,15
37,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,exact,<*> rhost=<*> user=root,0.9909,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5924,17.89,15
38,Failed password for root from <*> port 57092 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.928,<*> rhost=<*> user=root,0.5382,Invalid user <*> from <*>,0.3144,21.46,15
39,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.9788,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,93.35,15
40,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,exact,<*> rhost=<*> user=root,0.9915,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5924,23.0,15
41,Failed password for root from <*> port 57485 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.9461,<*> rhost=<*> user=root,0.5116,Invalid user cyrus from <*>,0.3338,32.38,15
42,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.9807,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,19.82,15
43,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,exact,<*> rhost=<*> user=root,0.992,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5923,23.38,15
44,Failed password for root from <*> port 57998 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.9545,<*> rhost=<*> user=root,0.5375,Invalid user cyrus from <*>,0.343,109.63,15
45,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.9823,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,18.88,15
46,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,exact,<*> rhost=<*> user=root,0.9925,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5923,20.89,15
47,Failed password for root from <*> port 58430 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.9334,<*> rhost=<*> user=root,0.5223,Invalid user cyrus from <*>,0.2901,24.72,15
48,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.9837,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,39.55,15
49,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,exact,<*> rhost=<*> user=root,0.993,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5922,77.23,15
50,Failed password for root from <*> port 58882 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.9111,<*> rhost=<*> user=root,0.4966,Invalid user cyrus from <*>,0.2967,18.35,15
51,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> methods<*> available. [preauth],0.985,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5332,25.92,15
52,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,exact,<*> rhost=<*> user=root,0.9934,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.5922,32.08,15
53,Failed password for root from <*> port 59160 ssh2,partial,Failed password for <*> from <*> port for<*> ssh2 from<*> ssh2 port <*> ssh2],0.9364,<*> rhost=<*> user=root,0.5416,Invalid user cyrus from <*>,0.3319,23.45,15
