log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,Got assigned task 1239,partial,Got assigned task <*>,0.8293,Got assigned task 590,0.7938,Got assigned task 360,0.7801,26.89,33
2,Running task 39.0 in stage 26.0 (TID 1239),partial,Running task <*> in stage <*> (TID <*>,0.941,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6633,Got assigned task 273,0.5078,18.45,33
3,"Times: total = 47, boot = 17, init = 23, finish = 7",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9694,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3851,Got assigned task 273,0.2706,17.87,33
4,"Partition rdd_42_38 not found, computing it",partial,"Partition rdd_<*> not found, computing it",0.9635,Found block rdd_<*> locally,0.5815,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.5204,16.58,33
5,Input split: hdfs://<*>:9000/pjhe/logs/2kSOSP.log:277096+7292,exact,Input split: hdfs<*>,0.9981,Saved output of task <*> to hdfs<*>,0.6283,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,0.3742,17.25,33
6,"Partition rdd_42_39 not found, computing it",partial,"Partition rdd_<*> not found, computing it",0.9709,Found block rdd_<*> locally,0.5889,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.5255,16.32,33
7,Input split: hdfs://<*>:9000/pjhe/logs/2kSOSP.log:284388+7303,exact,Input split: hdfs<*>,0.9965,Saved output of task <*> to hdfs<*>,0.6298,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,0.3798,16.83,33
8,"Block rdd_42_35 stored as bytes in memory (estimated size 917.0 <*>, free 834.6 <*>)",partial,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.9775,Found block rdd_<*> locally,0.6393,"Partition rdd_<*> not found, computing it",0.5377,28.04,33
9,"Times: total = 53, boot = 8, init = 40, finish = 5",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9718,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3591,Reading broadcast variable <*> took <*> ms,0.2412,23.31,33
10,"Times: total = 53, boot = 12, init = 36, finish = 5",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9637,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3629,Reading broadcast variable <*> took <*> ms,0.2435,23.19,33
11,"Block rdd_42_37 stored as bytes in memory (estimated size 939.0 <*>, free 835.5 <*>)",partial,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.9822,Found block rdd_<*> locally,0.6468,"Partition rdd_<*> not found, computing it",0.5369,24.56,33
12,"Block rdd_42_36 stored as bytes in memory (estimated size 912.0 <*>, free 836.4 <*>)",partial,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.9842,Found block rdd_<*> locally,0.6451,"Partition rdd_<*> not found, computing it",0.5438,33.64,33
13,"Times: total = 41, boot = 9, init = 31, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9769,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3746,Got assigned task 273,0.2515,28.08,33
14,Finished task 35.0 in stage 26.0 (TID 1235). 2705 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9689,Running task <*> in stage <*> (TID <*>,0.6399,Got assigned task 273,0.4792,21.78,33
15,"Times: total = 48, boot = 17, init = 25, finish = 6",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9617,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3739,Got assigned task 273,0.2475,24.86,33
16,"Times: total = 51, boot = 8, init = 38, finish = 5",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9762,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3553,Got assigned task 273,0.2394,44.14,33
17,"Block rdd_42_38 stored as bytes in memory (estimated size 974.0 <*>, free 837.4 <*>)",partial,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.9828,Found block rdd_<*> locally,0.6404,"Partition rdd_<*> not found, computing it",0.5317,22.6,33
18,"Block rdd_42_39 stored as bytes in memory (estimated size 877.0 <*>, free 838.2 <*>)",partial,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.9854,Found block rdd_<*> locally,0.6544,"Partition rdd_<*> not found, computing it",0.5433,25.0,33
19,"Times: total = 40, boot = 24, init = 16, finish = 0",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9737,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3894,Reading broadcast variable <*> took <*> ms,0.2688,24.65,33
20,"Times: total = 42, boot = 22, init = 19, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9824,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3954,Got assigned task 273,0.269,33.33,33
21,Finished task 36.0 in stage 26.0 (TID 1236). 2705 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9703,Running task <*> in stage <*> (TID <*>,0.6313,Got assigned task 273,0.4875,28.62,33
22,Finished task 37.0 in stage 26.0 (TID 1237). 2705 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.975,Running task <*> in stage <*> (TID <*>,0.6331,Got assigned task 273,0.4993,30.34,33
23,"Times: total = 40, boot = 13, init = 27, finish = 0",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9829,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.4004,Running task <*> in stage <*> (TID <*>,0.2705,25.67,33
24,"Times: total = 38, boot = 18, init = 20, finish = 0",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9739,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.391,Got assigned task 273,0.256,33.65,33
25,Finished task 38.0 in stage 26.0 (TID 1238). 2703 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9826,Running task <*> in stage <*> (TID <*>,0.6386,Got assigned task 273,0.4997,21.53,33
26,Finished task 39.0 in stage 26.0 (TID 1239). 2703 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.981,Running task <*> in stage <*> (TID <*>,0.6421,Got assigned task 273,0.485,23.99,33
27,Got assigned task 1240,partial,Got assigned task <*>,0.8588,Got assigned task 590,0.8144,Got assigned task 360,0.7788,25.07,33
28,Running task 0.0 in stage 27.0 (TID 1240),partial,Running task <*> in stage <*> (TID <*>,0.9637,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6485,Got assigned task <*>,0.4591,44.28,33
29,Got assigned task 1241,partial,Got assigned task <*>,0.8658,Got assigned task 590,0.7982,Got assigned task 360,0.7774,26.53,33
30,Running task 1.0 in stage 27.0 (TID 1241),partial,Running task <*> in stage <*> (TID <*>,0.9536,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6339,Got assigned task <*>,0.4797,31.6,33
31,Got assigned task 1242,partial,Got assigned task <*>,0.8631,Got assigned task 590,0.7785,Got assigned task 360,0.7704,25.48,33
32,Started reading broadcast variable 38,partial,Started reading broadcast variable <*>,0.9609,Reading broadcast variable <*> took <*> ms,0.7829,"Block broadcast_<*> stored as <*> in memory (estimated size <*> <*>, free <*> <*>)",0.4894,34.51,33
33,Running task 2.0 in stage 27.0 (TID 1242),partial,Running task <*> in stage <*> (TID <*>,0.942,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6525,Got assigned task <*>,0.4661,23.84,33
34,Got assigned task 1243,partial,Got assigned task <*>,0.8869,Got assigned task 590,0.7856,Got assigned task 360,0.7801,33.2,33
35,Running task 3.0 in stage 27.0 (TID 1243),partial,Running task <*> in stage <*> (TID <*>,0.922,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.622,Got assigned task <*>,0.459,24.93,33
36,Got assigned task 1244,partial,Got assigned task <*>,0.8999,Got assigned task 590,0.7903,Got assigned task 360,0.7844,33.28,33
37,Running task 4.0 in stage 27.0 (TID 1244),partial,Running task <*> in stage <*> (TID <*>,0.9215,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6054,Got assigned task <*>,0.4492,24.92,33
38,"Block broadcast_38_piece0 stored as bytes in memory (estimated size 5.8 <*>, free 844.0 <*>)",partial,"Block broadcast_<*> stored as <*> in memory (estimated size <*> <*>, free <*> <*>)",0.9612,Reading broadcast variable <*> took <*> ms,0.5079,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.4948,24.9,33
39,Reading broadcast variable 38 took 11 ms,partial,Reading broadcast variable <*> took <*> ms,0.9672,Started reading broadcast variable <*>,0.793,"Block broadcast_<*> stored as <*> in memory (estimated size <*> <*>, free <*> <*>)",0.5187,26.78,33
40,"Block broadcast_38 stored as values in memory (estimated size 9.6 <*>, free 853.7 <*>)",partial,"Block broadcast_<*> stored as <*> in memory (estimated size <*> <*>, free <*> <*>)",0.9469,Reading broadcast variable <*> took <*> ms,0.5542,Started reading broadcast variable <*>,0.5084,32.39,33
41,Found block rdd_42_0 locally,partial,Found block rdd_<*> locally,0.9788,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6547,"Partition rdd_<*> not found, computing it",0.6063,24.87,33
42,Found block rdd_42_4 locally,partial,Found block rdd_<*> locally,0.9732,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6343,"Partition rdd_<*> not found, computing it",0.608,27.92,33
43,Found block rdd_42_2 locally,partial,Found block rdd_<*> locally,0.9777,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.64,"Partition rdd_<*> not found, computing it",0.6065,22.05,33
44,Found block rdd_42_3 locally,partial,Found block rdd_<*> locally,0.9746,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6215,"Partition rdd_<*> not found, computing it",0.6076,35.5,33
45,Found block rdd_42_1 locally,partial,Found block rdd_<*> locally,0.9803,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6456,"Partition rdd_<*> not found, computing it",0.6088,21.83,33
46,"Times: total = 39, boot = -108, init = 146, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9798,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.4202,Reading broadcast variable <*> took <*> ms,0.2912,22.28,33
47,"Times: total = 42, boot = -77, init = 118, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9801,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.4086,Got assigned task 273,0.3061,27.07,33
48,Finished task 0.0 in stage 27.0 (TID 1240). 2474 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9853,Running task <*> in stage <*> (TID <*>,0.682,Got assigned task 273,0.4848,34.49,33
49,"Times: total = 41, boot = -71, init = 111, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9786,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3918,Got assigned task 273,0.2643,24.35,33
50,"Times: total = 39, boot = -64, init = 102, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9612,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.4251,Reading broadcast variable <*> took <*> ms,0.3088,25.11,33
51,Finished task 4.0 in stage 27.0 (TID 1244). 2685 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9731,Running task <*> in stage <*> (TID <*>,0.6556,Got assigned task 273,0.4904,30.71,33
52,"Times: total = 42, boot = -66, init = 107, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9757,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.4061,Got assigned task 273,0.3069,36.46,33
53,Finished task 2.0 in stage 27.0 (TID 1242). 2523 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9811,Running task <*> in stage <*> (TID <*>,0.6558,Got assigned task 273,0.4872,24.13,33
54,Got assigned task 1245,partial,Got assigned task <*>,0.9048,Got assigned task 590,0.7934,Got assigned task 360,0.7777,25.25,33
