log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,Warning: Unrecognized packageExtended attribute.,exact,Warning: Unrecognized packageExtended attribute.,1.0,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.4523,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.4408,31.36,50
2,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],exact,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],1.0,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.8204,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.5859,25.12,50
3,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],exact,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],1.0,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.8204,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.5726,23.22,50
4,Warning: Unrecognized packageExtended attribute.,exact,Warning: Unrecognized packageExtended attribute.,1.0,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.4523,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.4408,26.43,50
5,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],exact,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],1.0,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.8204,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.5859,29.7,50
6,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],exact,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],1.0,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.8204,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.5726,30.97,50
7,Warning: Unrecognized packageExtended attribute.,exact,Warning: Unrecognized packageExtended attribute.,1.0,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.4523,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.4408,27.91,50
8,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],exact,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],1.0,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.8204,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.5859,23.89,50
9,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],exact,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],1.0,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.8204,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.5726,22.66,50
10,Warning: Unrecognized packageExtended attribute.,exact,Warning: Unrecognized packageExtended attribute.,1.0,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.4523,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.4408,22.39,50
11,Warning: Unrecognized packageExtended attribute.,exact,Warning: Unrecognized packageExtended attribute.,1.0,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.4523,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.4408,22.4,50
12,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],exact,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],1.0,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.8204,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.5859,22.58,50
13,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],exact,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],1.0,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.8204,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.5726,22.65,50
14,Warning: Unrecognized packageExtended attribute.,exact,Warning: Unrecognized packageExtended attribute.,1.0,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.4523,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.4408,22.01,50
15,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],exact,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],1.0,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.8204,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.5859,22.35,50
16,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],exact,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],1.0,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.8204,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.5726,22.55,50
17,Warning: Unrecognized packageExtended attribute.,exact,Warning: Unrecognized packageExtended attribute.,1.0,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.4523,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.4408,21.98,50
18,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],exact,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],1.0,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.8204,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.5859,22.47,50
19,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],exact,Failed to get next element [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],1.0,Expecting attribute name [HRESULT = <*>- CBS_E_MANIFEST_INVALID_ITEM],0.8204,Failed to internally open package. [HRESULT = <*>- CBS_E_INVALID_PACKAGE],0.5726,22.52,50
