log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,caught end of stream exception,exact,caught end of stream exception,1.0,<*> - ERROR [LearnerHandler-<*>:LearnerHandler@562] - Unexpected exception causing shutdown while sock still open,0.3761,Interrupted while waiting for message on queue,0.3684,32.19,54
2,Client attempting to establish new session at <*>,exact,Client attempting to establish new session at <*>,1.0,Client attempting to renew session <*> at <*>,0.6871,Established session <*> with negotiated timeout <*> for client <*>,0.6064,23.01,54
3,Established session 0x24f0557806a001e with negotiated timeout 10000 for client <*>,partial,Established session <*> with negotiated timeout <*> for client <*>,0.9782,Expiring session <*> timeout of <*> exceeded,0.7278,Client attempting to renew session <*> at <*>,0.7031,21.44,54
4,Connection request from old client <*>; will be dropped if server is in r-o mode,exact,Connection request from old client <*>; will be dropped if server is in r-o mode,1.0,Closed socket connection for client <*> (no session established for client),0.5625,"Have smaller server identifier, so dropping the connection: (2, 1)",0.5493,20.81,54
5,Connection request from old client <*>; will be dropped if server is in r-o mode,exact,Connection request from old client <*>; will be dropped if server is in r-o mode,1.0,Closed socket connection for client <*> (no session established for client),0.5625,"Have smaller server identifier, so dropping the connection: (2, 1)",0.5493,20.39,54
6,Revalidating client: 0x24f0557806a001c,exact,Revalidating client: <*>,1.0,Client attempting to renew session <*> at <*>,0.6348,Established session <*> with negotiated timeout <*> for client <*>,0.4476,20.41,54
7,autopurge.purgeInterval set to 0,exact,autopurge.purgeInterval set to 0,1.0,autopurge.snapRetainCount set to 3,0.3731,maxSessionTimeout set to -1,0.3539,20.06,54
8,maxSessionTimeout set to -1,exact,maxSessionTimeout set to -1,1.0,minSessionTimeout set to -1,0.9135,Expiring session <*> timeout of <*> exceeded,0.5856,20.16,54
9,Received connection request <*>,exact,Received connection request <*>,1.0,Accepted socket connection from <*>,0.6767,Connection request from old client <*>; will be dropped if server is in r-o mode,0.4974,20.1,54
10,FOLLOWING,exact,FOLLOWING,1.0,LOOKING,0.437,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state)",0.3091,20.22,54
11,Connection request from old client <*>; will be dropped if server is in r-o mode,exact,Connection request from old client <*>; will be dropped if server is in r-o mode,1.0,Closed socket connection for client <*> (no session established for client),0.5625,"Have smaller server identifier, so dropping the connection: (2, 1)",0.5493,20.47,54
12,Accepted socket connection from <*>,exact,Accepted socket connection from <*>,1.0,Received connection request <*>,0.6767,Closed socket connection for client <*> (no session established for client),0.6361,19.96,54
13,Client attempting to renew session 0x24f0557806a0020 at <*>,exact,Client attempting to renew session <*> at <*>,0.9937,Client attempting to establish new session at <*>,0.6774,Established session <*> with negotiated timeout <*> for client <*>,0.6753,20.54,54
14,caught end of stream exception,exact,caught end of stream exception,1.0,<*> - ERROR [LearnerHandler-<*>:LearnerHandler@562] - Unexpected exception causing shutdown while sock still open,0.3761,Interrupted while waiting for message on queue,0.3684,20.01,54
15,Closed socket connection for client <*> which had sessionid 0x24f0557806a001b,exact,Closed socket connection for client <*> which had sessionid <*>,0.9936,Closed socket connection for client <*> (no session established for client),0.867,Client attempting to renew session <*> at <*>,0.6107,20.64,54
16,Established session 0x24f1724b8af0009 with negotiated timeout 10000 for client <*>,partial,Established session <*> with negotiated timeout <*> for client <*>,0.9769,Expiring session <*> timeout of <*> exceeded,0.7128,Client attempting to renew session <*> at <*>,0.7022,20.79,54
17,Accepted socket connection from <*>,exact,Accepted socket connection from <*>,1.0,Received connection request <*>,0.6767,Closed socket connection for client <*> (no session established for client),0.6361,19.86,54
18,Server environment:java.class.path=/etc/zookeeper/conf:/usr/share/java/jline.jar:/usr/share/java/log4j-1.2.jar:/usr/share/java/xercesImpl.jar:/usr/share/java/xmlParserAPIs.jar:/usr/share/java/netty.jar:/usr/share/java/slf4j-api.jar:/usr/share/java/slf4j-log4j12.jar:/usr/share/java/zookeeper.jar,exact,Server environment:java.class.path=/etc/zookeeper/conf:/usr/share/java/jline.jar:/usr/share/java/log4j-1.2.jar:/usr/share/java/xercesImpl.jar:/usr/share/java/xmlParserAPIs.jar:/usr/share/java/netty.jar:/usr/share/java/slf4j-api.jar:/usr/share/java/slf4j-log4j12.jar:/usr/share/java/zookeeper.jar,1.0,"Server environment:zookeeper.version=3.4.5--1, built on <*> 17:26 GMT",0.7389,Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084,0.6453,28.87,54
19,Have quorum of supporters; starting up and setting last processed zxid: 0xb00000000,exact,Have quorum of supporters; starting up and setting last processed zxid: <*>,1.0,"New election. My id = 1, proposed <*>",0.4855,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state)",0.4559,21.16,54
20,"Notification: 2 (n.leader), 0xa0000009a (n.zxid), 0x1 (n.round), FOLLOWING (n.state), 1 (n.sid), 0xa (n.peerEPoch), LEADING (my state)",partial,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state)",0.9759,"New election. My id = 1, proposed <*>",0.4675,Have quorum of supporters; starting up and setting last processed zxid: <*>,0.4592,23.95,54
21,"Expiring session 0x14f1724a6e80011, timeout of 10000ms exceeded",partial,Expiring session <*> timeout of <*> exceeded,0.9804,Established session <*> with negotiated timeout <*> for client <*>,0.7213,Processed session termination for sessionid: <*>,0.646,21.62,54
22,Processed session termination for sessionid: 0x34f1724a35e000c,partial,Processed session termination for sessionid: <*>,0.9889,Established session <*> with negotiated timeout <*> for client <*>,0.6678,Client attempting to renew session <*> at <*>,0.6488,20.74,54
23,Processed session termination for sessionid: 0x14f1724a6e8000d,partial,Processed session termination for sessionid: <*>,0.9819,Client attempting to renew session <*> at <*>,0.6691,Established session <*> with negotiated timeout <*> for client <*>,0.6458,20.44,54
24,Client attempting to establish new session at <*>,exact,Client attempting to establish new session at <*>,1.0,Client attempting to renew session <*> at <*>,0.6861,Established session <*> with negotiated timeout <*> for client <*>,0.6071,20.13,54
25,"Expiring session 0x14f3fdae8ba0002, timeout of 10000ms exceeded",partial,Expiring session <*> timeout of <*> exceeded,0.9835,Established session <*> with negotiated timeout <*> for client <*>,0.7074,Processed session termination for sessionid: <*>,0.6406,20.7,54
26,Processed session termination for sessionid: 0x14f3fdae8ba0001,partial,Processed session termination for sessionid: <*>,0.9787,Expiring session <*> timeout of <*> exceeded,0.6574,Established session <*> with negotiated timeout <*> for client <*>,0.6422,20.65,54
27,"Expiring session 0x24f3fdaf738000a, timeout of 10000ms exceeded",partial,Expiring session <*> timeout of <*> exceeded,0.9633,Established session <*> with negotiated timeout <*> for client <*>,0.6785,Processed session termination for sessionid: <*>,0.6251,20.65,54
28,shutdown of request processor complete,exact,shutdown of request processor complete,1.0,Processed session termination for sessionid: <*>,0.3923,<*> - ERROR [LearnerHandler-<*>:LearnerHandler@562] - Unexpected exception causing shutdown while sock still open,0.3811,19.84,54
29,Accepted socket connection from <*>,exact,Accepted socket connection from <*>,1.0,Received connection request <*>,0.6767,Closed socket connection for client <*> (no session established for client),0.6361,19.93,54
30,Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running,exact,Exception causing close of session <*> due to java.io.IOException: ZooKeeperServer not running,1.0,"Server environment:zookeeper.version=3.4.5--1, built on <*> 17:26 GMT",0.644,Got user-level KeeperException when processing sessionid:0x34ed93485090001 type:create cxid:0x55b8bb0f <*> txntype:-1 reqpath:n/a Error Path:/home/curi/.zookeeper Error:KeeperErrorCode = NodeExists for /home/curi/.zookeeper,0.6047,20.59,54
31,Closed socket connection for client <*> (no session established for client),exact,Closed socket connection for client <*> (no session established for client),1.0,Closed socket connection for client <*> which had sessionid <*>,0.8735,Accepted socket connection from <*>,0.6361,20.37,54
32,Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running,exact,Exception causing close of session <*> due to java.io.IOException: ZooKeeperServer not running,1.0,"Server environment:zookeeper.version=3.4.5--1, built on <*> 17:26 GMT",0.644,Got user-level KeeperException when processing sessionid:0x34ed93485090001 type:create cxid:0x55b8bb0f <*> txntype:-1 reqpath:n/a Error Path:/home/curi/.zookeeper Error:KeeperErrorCode = NodeExists for /home/curi/.zookeeper,0.6047,20.62,54
