dataset,GA,PA,FGA,FTA,alpha,store_templates
HDFS,0.866000,1.000000,0.774200,1.000000,0.700000,19
Hadoop,0.957000,0.376500,0.864400,0.553200,0.700000,168
Spark,0.767500,0.938500,0.695700,0.579700,0.700000,36
Zookeeper,0.944500,0.932000,0.788500,0.576900,0.700000,61
BGL,0.859500,0.760000,0.659600,0.252700,0.700000,192
HPC,0.840000,0.872000,0.777800,0.666700,0.700000,46
Thunderbird,0.893500,0.877500,0.705100,0.428600,0.700000,149
Windows,0.709500,0.462000,0.740000,0.360000,0.700000,50
Linux,0.584500,0.438000,0.505300,0.328000,0.700000,72
Android,0.824500,0.850000,0.759000,0.753600,0.700000,210
HealthApp,0.668000,0.528000,0.857100,0.545500,0.200000,75
Apache,0.576000,0.687500,0.727300,0.363600,0.300000,6
Proxifier,0.975500,0.502000,0.625000,0.500000,0.700000,8
OpenSSH,0.107500,0.349000,0.190500,0.195100,0.700000,15
OpenStack,0.732500,0.363000,0.207300,0.821700,0.700000,158
Mac,0.774500,0.545500,0.766800,0.408200,0.700000,534
