dataset,total_logs,GA,PA,FGA,FTA,old_1_minus_new_over_N
HDFS,600,0.845,1.0,0.75,1.0,1.0
Hadoop,600,1.0,0.1433,1.0,0.25,1.0
Spark,600,0.9817,0.99,0.8182,0.9091,1.0
Zookeeper,600,0.98,0.9683,0.8529,0.7059,1.0
BGL,600,0.755,0.4533,0.5957,0.259,1.0
HPC,600,0.8267,0.8967,0.8,0.7652,1.0
Thunderbird,600,0.9067,0.915,0.6494,0.4156,1.0
Windows,600,0.5417,0.505,0.625,0.25,1.0
Linux,600,0.14,0.2417,0.4762,0.3214,0.9983
Android,600,0.61,0.835,0.6301,0.727,1.0
HealthApp,600,0.6017,0.6,0.8193,0.675,1.0
Apache,600,0.5833,0.6883,0.7273,0.3636,1.0
Proxifier,600,0.5017,0.5317,0.4444,0.5556,1.0
OpenSSH,600,0.0433,0.3333,0.25,0.2667,1.0
OpenStack,600,0.7783,0.36,0.315,0.8263,1.0
Mac,600,0.8583,0.5333,0.8373,0.4173,1.0
