dataset,total_logs,GA,PA,FGA,FTA,old_1_minus_new_over_N
HDFS,600,0.68,0.9967,0.7273,0.9524,0.9983
Hadoop,600,1.0,0.1433,1.0,0.25,1.0
Spark,600,0.9817,0.99,0.8182,0.9091,1.0
Zookeeper,600,0.8083,0.9633,0.7647,0.6471,0.9883
BGL,600,0.5567,0.38,0.4954,0.1495,0.9817
HPC,600,0.7483,0.845,0.7407,0.5926,0.9967
Thunderbird,600,0.895,0.625,0.5789,0.3684,0.96
Windows,600,0.5417,0.505,0.625,0.25,1.0
Linux,600,0.175,0.2717,0.6256,0.441,0.88
Android,600,0.6367,0.8333,0.5728,0.6469,0.9817
HealthApp,600,0.715,0.5933,0.7595,0.6842,0.9733
Apache,600,0.5833,0.6883,0.7273,0.3636,1.0
Proxifier,600,0.4767,0.4583,0.4615,0.3077,1.0
OpenSSH,600,0.0433,0.0433,0.25,0.2667,1.0
OpenStack,600,0.8833,0.3867,0.6374,0.834,1.0
Mac,600,0.845,0.4267,0.8354,0.3576,0.95
