log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5216,mod_jk child init 1 -2,0.3325,20.5,6
2,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9905,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,13.11,6
3,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.993,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,11.45,6
4,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9946,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,8.93,6
5,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9958,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.73,6
6,jk2_init() Found child 5384 in scoreboard slot 7,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9781,jk2_init() Found child <*> in scoreboard slot <*>,0.8927,mod_jk child init 1 -2,0.5895,7.85,6
7,jk2_init() Found child 5385 in scoreboard slot 8,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9717,jk2_init() Found child <*> in scoreboard slot <*>,0.8842,mod_jk child init 1 -2,0.5873,7.75,6
8,jk2_init() Found child 5386 in scoreboard slot 9,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.973,jk2_init() Found child <*> in scoreboard slot <*>,0.8997,mod_jk child init 1 -2,0.5962,7.38,6
9,jk2_init() Found child 5387 in scoreboard slot 6,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9809,jk2_init() Found child <*> in scoreboard slot <*>,0.9024,mod_jk child init 1 -2,0.5985,7.48,6
10,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5234,mod_jk child init 1 -2,0.3325,7.95,6
11,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9966,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.35,6
12,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5235,mod_jk child init 1 -2,0.3325,7.73,6
13,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9972,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.4,6
14,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5236,mod_jk child init 1 -2,0.3325,7.76,6
15,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9976,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.29,6
16,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5236,mod_jk child init 1 -2,0.3325,7.54,6
17,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.998,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.17,6
18,jk2_init() Found child 5388 in scoreboard slot 10,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9766,jk2_init() Found child <*> in scoreboard slot <*>,0.8941,mod_jk child init 1 -2,0.5916,7.58,6
19,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5237,mod_jk child init 1 -2,0.3325,7.6,6
20,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9982,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.04,6
21,[client <*>] Directory index forbidden by rule: /var/www/html/,exact,[client <*>] Directory index forbidden by rule: /var/www/html/,1.0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.1366,mod_jk child workerEnv in error state <*>,0.1062,7.57,6
22,[client <*>] Directory index forbidden by rule: /var/www/html/,exact,[client <*>] Directory index forbidden by rule: /var/www/html/,1.0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.1366,mod_jk child workerEnv in error state <*>,0.1062,7.39,6
23,jk2_init() Found child 5404 in scoreboard slot 8,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9527,jk2_init() Found child <*> in scoreboard slot <*>,0.8537,mod_jk child init 1 -2,0.614,7.4,6
24,jk2_init() Found child 5405 in scoreboard slot 9,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9598,jk2_init() Found child <*> in scoreboard slot <*>,0.8694,mod_jk child init 1 -2,0.6092,7.7,6
25,jk2_init() Found child 5418 in scoreboard slot 6,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9703,jk2_init() Found child <*> in scoreboard slot <*>,0.8861,mod_jk child init 1 -2,0.5999,7.64,6
26,jk2_init() Found child 5419 in scoreboard slot 7,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9743,jk2_init() Found child <*> in scoreboard slot <*>,0.894,mod_jk child init 1 -2,0.5889,7.37,6
27,jk2_init() Found child 5417 in scoreboard slot 9,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9697,jk2_init() Found child <*> in scoreboard slot <*>,0.8851,mod_jk child init 1 -2,0.588,8.07,6
28,jk2_init() Found child 5416 in scoreboard slot 8,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.972,jk2_init() Found child <*> in scoreboard slot <*>,0.8792,mod_jk child init 1 -2,0.5977,7.49,6
29,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5237,mod_jk child init 1 -2,0.3325,7.65,6
30,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9985,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.18,6
31,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5237,mod_jk child init 1 -2,0.3325,7.59,6
32,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9987,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.19,6
33,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5237,mod_jk child init 1 -2,0.3325,7.69,6
34,mod_jk child workerEnv in error state 7,partial,mod_jk child workerEnv in error state <*>,0.9894,mod_jk child init 1 -2,0.6508,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5226,7.22,6
35,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5239,mod_jk child init 1 -2,0.3325,7.58,6
36,mod_jk child workerEnv in error state 7,exact,mod_jk child workerEnv in error state <*>,0.9905,mod_jk child init 1 -2,0.6508,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5226,7.2,6
37,jk2_init() Found child 5426 in scoreboard slot 6,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9621,jk2_init() Found child <*> in scoreboard slot <*>,0.8784,mod_jk child init 1 -2,0.5884,7.34,6
38,jk2_init() Found child 5425 in scoreboard slot 9,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9775,jk2_init() Found child <*> in scoreboard slot <*>,0.8918,mod_jk child init 1 -2,0.5898,7.44,6
39,jk2_init() Found child 5428 in scoreboard slot 8,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9762,jk2_init() Found child <*> in scoreboard slot <*>,0.8853,mod_jk child init 1 -2,0.5899,7.37,6
40,jk2_init() Found child 5429 in scoreboard slot 9,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9807,jk2_init() Found child <*> in scoreboard slot <*>,0.9009,mod_jk child init 1 -2,0.5873,7.44,6
41,jk2_init() Found child 5430 in scoreboard slot 6,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9625,jk2_init() Found child <*> in scoreboard slot <*>,0.8742,mod_jk child init 1 -2,0.5942,7.67,6
42,jk2_init() Found child 5434 in scoreboard slot 6,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.97,jk2_init() Found child <*> in scoreboard slot <*>,0.8797,mod_jk child init 1 -2,0.5936,7.36,6
43,jk2_init() Found child 5433 in scoreboard slot 9,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9729,jk2_init() Found child <*> in scoreboard slot <*>,0.8829,mod_jk child init 1 -2,0.5957,7.43,6
44,jk2_init() Found child 5435 in scoreboard slot 7,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9769,jk2_init() Found child <*> in scoreboard slot <*>,0.8837,mod_jk child init 1 -2,0.5986,7.31,6
45,jk2_init() Found child 5432 in scoreboard slot 8,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9666,jk2_init() Found child <*> in scoreboard slot <*>,0.8696,mod_jk child init 1 -2,0.5915,7.38,6
46,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5241,mod_jk child init 1 -2,0.3325,7.97,6
47,mod_jk child workerEnv in error state 8,partial,mod_jk child workerEnv in error state <*>,0.9812,mod_jk child init 1 -2,0.6456,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5065,7.36,6
48,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5237,mod_jk child init 1 -2,0.3325,7.72,6
49,mod_jk child workerEnv in error state 7,exact,mod_jk child workerEnv in error state <*>,0.9917,mod_jk child init 1 -2,0.6508,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5226,7.25,6
50,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5238,mod_jk child init 1 -2,0.3325,7.5,6
51,mod_jk child workerEnv in error state 6,exact,mod_jk child workerEnv in error state <*>,0.9976,mod_jk child init 1 -2,0.6569,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5231,7.3,6
52,workerEnv.init() ok /etc/httpd/conf/workers2.properties,exact,workerEnv.init() ok /etc/httpd/conf/workers2.properties,1.0,mod_jk child workerEnv in error state <*>,0.5239,mod_jk child init 1 -2,0.3325,7.51,6
53,mod_jk child workerEnv in error state 7,exact,mod_jk child workerEnv in error state <*>,0.9922,mod_jk child init 1 -2,0.6508,workerEnv.init() ok /etc/httpd/conf/workers2.properties,0.5226,7.18,6
54,jk2_init() Found child 5470 in scoreboard slot 9,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9674,jk2_init() Found child <*> in scoreboard slot <*>,0.8811,mod_jk child init 1 -2,0.5875,7.34,6
55,jk2_init() Found child 5469 in scoreboard slot 8,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9786,jk2_init() Found child <*> in scoreboard slot <*>,0.8946,mod_jk child init 1 -2,0.5863,7.5,6
56,jk2_init() Found child 5474 in scoreboard slot 9,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9828,jk2_init() Found child <*> in scoreboard slot <*>,0.8939,mod_jk child init 1 -2,0.589,7.37,6
57,jk2_init() Found child 5475 in scoreboard slot 6,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9768,jk2_init() Found child <*> in scoreboard slot <*>,0.8912,mod_jk child init 1 -2,0.6096,7.44,6
58,jk2_init() Found child 5482 in scoreboard slot 9,partial,jk2_init() Found child child<*> in scoreboard slot <*>,0.9767,jk2_init() Found child <*> in scoreboard slot <*>,0.8915,mod_jk child init 1 -2,0.5873,7.73,6
