log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:41304: Link has been severed,exact,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*> Link has been severed,0.9986,ciod: failed to read message prefix on control stream (CioStream socket to <*>,0.8851,ciod: Message code 0 is not 51 or <*>,0.6381,53.68,105
2,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:41217: Link has been severed,exact,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*> Link has been severed,0.9988,ciod: failed to read message prefix on control stream (CioStream socket to <*>,0.8843,ciod: Message code 0 is not 51 or <*>,0.6394,36.84,105
3,total of 1 ddr error(s) detected and corrected,exact,total of 1 ddr error(s) detected and corrected,1.0,total of 23 ddr error(s) detected and corrected,0.9086,"1 ddr errors(s) detected and corrected on rank 0, symbol <*> bit <*>",0.8111,34.07,105
4,Lustre mount FAILED : bglio388 : point /p/gb1,partial,Lustre mount FAILED : bglio<*> : point /p/gb1,0.9846,"NFS Mount failed on bglio<*> slept 15 seconds, retrying (1)",0.5734,"ciod: Error loading /bgl/apps/scaletest/stability/MDCASK/WORK/65576/inferno: invalid or missing program image, No such file or directory",0.3541,34.95,105
5,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:37916: Link has been severed,exact,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*> Link has been severed,0.9992,ciod: failed to read message prefix on control stream (CioStream socket to <*>,0.8848,ciod: Message code 0 is not 51 or <*>,0.6358,35.05,105
6,"CE sym 25, at 0x1a544020, mask 0x40",partial,CE sym <*> at <*> mask <*>,0.9491,"CE sym 28, at <*> mask <*>",0.9041,"CE sym 33, at 0x00dbd200, mask <*>",0.8636,33.83,105
7,Ido chip status changed: FF:F2:9F:15:7B:E0:00:0D:60:EA:84:1F ip=10.7.0.130 v=13 t=1 status=M Sat Sep 17 07:49:04 PDT 2005,exact,Ido chip status changed: FF<*> ip<*> v=13 t=4 status=M <*> Aug <*> PDT <*>,0.9911,New ido chip inserted into the database: FF<*> ip<*> <*>,0.822,Node card <*> active.<*> <*> Mode<*> <*> Low.<*> <*> Select<*> <*> Temperature <*> MPGOOD<*> <*> is <*> The <*> volt rail is OK. The 1.5 volt rail is OK.,0.4104,36.95,105
8,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,partial,Node card <*> active.<*> <*> Mode<*> <*> Low.<*> <*> Select<*> <*> Temperature <*> MPGOOD<*> <*> is <*> The <*> volt rail is OK. The 1.5 volt rail is OK.,0.9552,NodeCard is not fully functional,0.5729,Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*> found <*>,0.4869,38.87,105
9,"CE sym 9, at 0x123b6ca0, mask 0x20",partial,"CE sym 12, at <*> mask <*>",0.9266,CE sym <*> at <*> mask <*>,0.9116,"CE sym 3, at 0x0b19b8a0, mask <*>",0.8914,34.14,105
10,ciod: LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file or directory,fuzzy,ciod: LOGIN chdir(/p/bg1/da) failed: No such file or directory,0.7504,ciod: LOGIN chdir(pwd) failed: No such file or directory,0.7182,ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,0.6862,36.02,105
