log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir62/<*>,partial,Deleting block blk_<*> file <*>,0.9671,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.921,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.4642,18.34,13
2,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir30/<*>,partial,Deleting block blk_<*> file <*>,0.9788,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9325,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.4633,12.17,13
3,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir18/<*>,partial,Deleting block blk_<*> file <*>,0.9859,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9476,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4649,12.12,13
4,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir44/<*>,partial,Deleting block blk_<*> file <*>,0.9873,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9495,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4529,10.34,13
5,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir29/<*>,exact,Deleting block blk_<*> file <*>,0.9922,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9513,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.4687,10.27,13
6,Deleting block <*> file /mnt/hadoop/dfs/data/current/<*>,exact,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,1.0,Deleting block blk_<*> file <*>,0.9549,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4877,10.02,13
7,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir31/<*>,partial,Deleting block blk_<*> file <*>,0.9707,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9205,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.469,10.13,13
8,Receiving block <*> src: /<*> dest: /<*>,exact,Receiving block blk_<*> src: /<*> dest: /<*>,1.0,<*> Served block blk_<*> to /<*>,0.6183,Received block blk_<*> of size <*> from /<*>,0.5966,9.64,13
9,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir15/<*>,partial,Deleting block blk_<*> file <*>,0.9775,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9306,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4408,10.23,13
10,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir42/<*>,partial,Deleting block blk_<*> file <*>,0.9847,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9427,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4718,10.02,13
11,Deleting block <*> file /mnt/hadoop/dfs/data/current/<*>,exact,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,1.0,Deleting block blk_<*> file <*>,0.9548,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4877,9.71,13
12,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir19/<*>,partial,Deleting block blk_<*> file <*>,0.9841,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9401,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.4526,10.07,13
13,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir19/<*>,partial,Deleting block blk_<*> file <*>,0.9846,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9401,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.4526,9.88,13
14,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir48/<*>,partial,Deleting block blk_<*> file <*>,0.9833,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9331,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.4702,10.05,13
15,Deleting block <*> file /mnt/hadoop/dfs/data/current/<*>,exact,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,1.0,Deleting block blk_<*> file <*>,0.9547,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4877,9.68,13
16,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir36/<*>,partial,Deleting block blk_<*> file <*>,0.9874,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.941,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4612,10.11,13
17,Receiving block <*> src: /<*> dest: /<*>,exact,Receiving block blk_<*> src: /<*> dest: /<*>,1.0,<*> Served block blk_<*> to /<*>,0.6183,Received block blk_<*> of size <*> from /<*>,0.5966,9.53,13
18,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir40/<*>,partial,Deleting block blk_<*> file <*>,0.9703,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9218,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.4739,10.04,13
19,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir16/<*>,partial,Deleting block blk_<*> file <*>,0.9737,Deleting block blk_<*> file /mnt/hadoop/dfs/data/current/<*>,0.9276,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.4597,9.98,13
20,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,exact,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,0.9956,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.591,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.5855,10.88,13
21,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,exact,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,0.9962,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.591,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.5855,10.89,13
22,Receiving block <*> src: /<*> dest: /<*>,exact,Receiving block blk_<*> src: /<*> dest: /<*>,1.0,<*> Served block blk_<*> to /<*>,0.6183,Received block blk_<*> of size <*> from /<*>,0.5966,9.74,13
23,Received block <*> of size 67108864 from /<*>,partial,Received block blk_<*> of size <*> from /<*>,0.9561,Receiving block blk_<*> src: /<*> dest: /<*>,0.6058,<*> Served block blk_<*> to /<*>,0.4969,9.86,13
24,PacketResponder 2 for block <*> terminating,partial,PacketResponder <*> for block blk_<*> terminating,0.9882,Receiving block blk_<*> src: /<*> dest: /<*>,0.4165,<*> Served block blk_<*> to /<*>,0.3888,9.39,13
25,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,exact,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,0.9967,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.591,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.5855,9.92,13
26,Receiving block <*> src: /<*> dest: /<*>,exact,Receiving block blk_<*> src: /<*> dest: /<*>,1.0,<*> Served block blk_<*> to /<*>,0.6183,Received block blk_<*> of size <*> from /<*>,0.5991,9.46,13
27,BLOCK* NameSystem.allocateBlock: /user/root/rand5/_temporary/_task_200811101024_0011_m_000040_0/part-00040. <*>,exact,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.995,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,0.588,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.5664,11.91,13
28,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,exact,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,0.9971,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>,0.591,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,0.5856,10.53,13
