log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,33.3,40
2,warning,exact,warning,1.0,not<*> responding,0.3553,critical,0.3521,20.96,40
3,normal,exact,normal,1.0,active,0.3872,closing,0.2942,17.88,40
4,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,21.77,40
5,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,16.39,40
6,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,15.98,40
7,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,15.84,40
8,critical,exact,critical,1.0,warning,0.3521,not<*> responding,0.3157,15.95,40
9,normal,exact,normal,1.0,active,0.3872,closing,0.2942,15.76,40
10,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,15.78,40
11,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,15.91,40
12,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,15.87,40
13,normal,exact,normal,1.0,active,0.3872,closing,0.2942,15.82,40
14,normal,exact,normal,1.0,active,0.3872,closing,0.2942,15.64,40
15,normal,exact,normal,1.0,active,0.3872,closing,0.2942,16.24,40
16,warning,exact,warning,1.0,not<*> responding,0.3553,critical,0.3521,15.79,40
17,warning,exact,warning,1.0,not<*> responding,0.3553,critical,0.3521,15.71,40
18,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,15.99,40
19,normal,exact,normal,1.0,active,0.3872,closing,0.2942,15.72,40
20,critical,exact,critical,1.0,warning,0.3521,not<*> responding,0.3157,15.64,40
21,warning,exact,warning,1.0,not<*> responding,0.3553,critical,0.3521,16.04,40
22,warning,exact,warning,1.0,not<*> responding,0.3553,critical,0.3521,15.84,40
23,normal,exact,normal,1.0,active,0.3872,closing,0.2942,15.68,40
24,warning,exact,warning,1.0,not<*> responding,0.3553,critical,0.3521,15.74,40
25,normal,exact,normal,1.0,active,0.3872,closing,0.2942,15.65,40
26,warning,exact,warning,1.0,not<*> responding,0.3553,critical,0.3521,15.75,40
27,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,15.84,40
28,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,15.79,40
29,ambient<*>,exact,ambient<*>,1.0,psu failure\ ambient<*>,0.4054,active,0.2838,15.74,40
30,warning,exact,warning,1.0,not<*> responding,0.3553,critical,0.3521,15.59,40
31,warning,exact,warning,1.0,not<*> responding,0.3553,critical,0.3521,15.69,40
32,critical,exact,critical,1.0,warning,0.3521,not<*> responding,0.3157,15.83,40
33,warning,exact,warning,1.0,not<*> responding,0.3553,critical,0.3521,16.03,40
34,Link ok,exact,Link ok,1.0,Link error,0.4831,Link in reset,0.3542,15.92,40
35,Link ok,exact,Link ok,1.0,Link error,0.4831,Link in reset,0.3542,15.77,40
36,Link ok,exact,Link ok,1.0,Link error,0.4831,Link in reset,0.3542,15.71,40
37,Link ok,exact,Link ok,1.0,Link error,0.4831,Link in reset,0.3542,15.86,40
38,Link error,exact,Link error,1.0,Link in reset,0.5006,Link ok,0.4831,15.78,40
39,Link error,exact,Link error,1.0,Link in reset,0.5006,Link ok,0.4831,15.72,40
40,Link in reset,exact,Link in reset,1.0,Link error,0.5006,Link ok,0.3542,16.06,40
41,Link ok,exact,Link ok,1.0,Link error,0.4831,Link in reset,0.3542,15.72,40
42,Link ok,exact,Link ok,1.0,Link error,0.4831,Link in reset,0.3542,15.74,40
43,Link in reset,exact,Link in reset,1.0,Link error,0.5006,Link ok,0.3542,15.74,40
44,Link ok,exact,Link ok,1.0,Link error,0.4831,Link in reset,0.3542,15.7,40
45,Link error,exact,Link error,1.0,Link in reset,0.5006,Link ok,0.4831,15.64,40
46,Link ok,exact,Link ok,1.0,Link error,0.4831,Link in reset,0.3542,15.77,40
47,Link ok,exact,Link ok,1.0,Link error,0.4831,Link in reset,0.3542,15.77,40
48,Link ok,exact,Link ok,1.0,Link error,0.4831,Link in reset,0.3542,16.01,40
49,Link error,exact,Link error,1.0,Link in reset,0.5006,Link ok,0.4831,15.77,40
50,Link in reset,exact,Link in reset,1.0,Link error,0.5006,Link ok,0.3542,15.81,40
51,Link ok,exact,Link ok,1.0,Link error,0.4831,Link in reset,0.3542,15.72,40
52,Link ok,exact,Link ok,1.0,Link error,0.4831,Link in reset,0.3542,15.66,40
53,Link in reset,exact,Link in reset,1.0,Link error,0.5006,Link ok,0.3542,16.01,40
54,Link in reset,exact,Link in reset,1.0,Link error,0.5006,Link ok,0.3542,15.84,40
55,Link in reset,exact,Link in reset,1.0,Link error,0.5006,Link ok,0.3542,15.84,40
56,Link in reset,exact,Link in reset,1.0,Link error,0.5006,Link ok,0.3542,15.77,40
57,Linkerror event interval expired,new,Linkerror event interval expired,1.0,,0.0,,0.0,16.47,41
58,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,Link error,0.4569,Link error on broadcast tree Interconnect<*>,0.3105,16.41,41
59,risBoot (command 1903) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,fuzzy,risBoot (command 1903),0.7456,Command has been aborted,0.5431,wait (command <*>,0.4586,18.36,41
60,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,Link error,0.4569,Link error on broadcast tree Interconnect<*>,0.3105,18.06,41
61,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,Link error,0.4569,Link error on broadcast tree Interconnect<*>,0.3105,17.02,41
62,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,Link error,0.4569,Link error on broadcast tree Interconnect<*>,0.3105,16.48,41
63,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,Link error,0.4569,Link error on broadcast tree Interconnect<*>,0.3105,16.1,41
64,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,Link error,0.4569,Link error on broadcast tree Interconnect<*>,0.3105,16.31,41
65,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,Link error,0.4569,Link error on broadcast tree Interconnect<*>,0.3105,16.29,41
66,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,Link error,0.4569,Link error on broadcast tree Interconnect<*>,0.3105,16.41,41
67,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,Link error,0.4569,Link error on broadcast tree Interconnect<*>,0.3105,16.23,41
68,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,Link error,0.4569,Link error on broadcast tree Interconnect<*>,0.3105,16.43,41
69,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,Link error,0.4569,Link error on broadcast tree Interconnect<*>,0.3105,16.14,41
70,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,Link error,0.4569,Link error on broadcast tree Interconnect<*>,0.3105,16.21,41
71,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,Link error,0.4569,Link error on broadcast tree Interconnect<*>,0.3105,16.13,41
72,Linkerror event interval expired,exact,Linkerror event interval expired,1.0,Link error,0.4569,Link error on broadcast tree Interconnect<*>,0.3105,16.16,41
