log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,calculateCaloriesWithCache totalCalories=131015,partial,calculateCaloriesWithCache totalCalories<*>,0.9704,calculateAltitudeWithCache totalAltitude=240,0.6907,checkInsertStatus stepSum or calorieSum is enough,0.5494,32.92,56
2,calculateAltitudeWithCache totalAltitude=240,exact,calculateAltitudeWithCache totalAltitude=240,1.0,calculateCaloriesWithCache totalCalories<*>,0.709,checkInsertStatus stepStatSum or calorieStatSum is enough,0.4314,22.87,56
3,REPORT : 7205 5144 154331 240,partial,REPORT : <*> 240,0.9647,onExtend<*> 0 0 4,0.3329,InsertEvent success begin:25233975 <*>,0.331,21.01,56
4,onStandStepChanged 3780,partial,onStandStepChanged <*>,0.9521,REPORT : <*> 240,0.3646,onExtend<*> 0 0 4,0.3516,20.52,56
5,onExtend:1514042086000 3 0 4,exact,onExtend<*> 0 0 4,0.9913,setWriteDBLastDataMinute=25233979,0.3621,InsertEvent success begin:25233975 <*>,0.3615,20.71,56
6,getTodayTotalDetailSteps = 1514041980000##7205##549659##8661##16256##30730728,partial,getTodayTotalDetailSteps = <*>,0.9751,getTodaySportData mStepsRecordManager=com.huawei.health.g.c@8a2a501,0.4533,new date <*> type<*>,0.4033,22.5,56
7,setTodayTotalDetailSteps=1514041980000##7208##549659##8661##16256##30731232,partial,getTodayTotalDetailSteps = <*>,0.9797,new date <*> type<*>,0.4145,"new date <*> type=40005,240.0,old=330.0",0.4051,21.9,56
8,calculateCaloriesWithCache totalCalories=131079,partial,calculateCaloriesWithCache totalCalories<*>,0.9774,calculateAltitudeWithCache totalAltitude=240,0.6814,checkInsertStatus stepSum or calorieSum is enough,0.5556,20.35,56
9,calculateAltitudeWithCache totalAltitude=240,exact,calculateAltitudeWithCache totalAltitude=240,1.0,calculateCaloriesWithCache totalCalories<*>,0.7089,checkInsertStatus stepStatSum or calorieStatSum is enough,0.4314,20.91,56
10,REPORT : 7208 5146 154395 240,partial,REPORT : <*> 240,0.9802,"new date <*> type=40005,240.0,old=330.0",0.3326,onStandStepChanged <*>,0.3231,20.64,56
11,onStandStepChanged 3783,partial,onStandStepChanged <*>,0.9132,REPORT : <*> 240,0.4284,onExtend<*> 0 0 4,0.3815,20.5,56
12,onExtend:1514042086000 3 0 4,exact,onExtend<*> 0 0 4,0.9914,setWriteDBLastDataMinute=25233979,0.3621,InsertEvent success begin:25233975 <*>,0.3615,20.44,56
13,getTodayTotalDetailSteps = 1514041980000##7208##549659##8661##16256##30731232,partial,getTodayTotalDetailSteps = <*>,0.9755,getTodaySportData mStepsRecordManager=com.huawei.health.g.c@8a2a501,0.4523,new date <*> type<*>,0.4094,21.93,56
14,setTodayTotalDetailSteps=1514041980000##7211##549659##8661##16256##30731730,partial,getTodayTotalDetailSteps = <*>,0.9782,new date <*> type<*>,0.4059,"new date <*> type=40005,240.0,old=330.0",0.3954,21.98,56
15,calculateCaloriesWithCache totalCalories=131144,partial,calculateCaloriesWithCache totalCalories<*>,0.9699,calculateAltitudeWithCache totalAltitude=240,0.6902,checkInsertStatus stepSum or calorieSum is enough,0.5477,20.71,56
16,calculateAltitudeWithCache totalAltitude=240,exact,calculateAltitudeWithCache totalAltitude=240,1.0,calculateCaloriesWithCache totalCalories<*>,0.7089,checkInsertStatus stepStatSum or calorieStatSum is enough,0.4314,20.72,56
17,REPORT : 7211 5148 154459 240,partial,REPORT : <*> 240,0.9213,onStandStepChanged <*>,0.3596,new date <*> type<*>,0.3396,20.38,56
18,onStandStepChanged 3784,partial,onStandStepChanged <*>,0.9415,REPORT : <*> 240,0.4377,onExtend<*> 0 0 4,0.3829,20.45,56
19,onExtend:1514042087000 1 0 4,partial,onExtend<*> 0 0 4,0.987,onStandStepChanged <*>,0.3743,InsertEvent success begin:25233975 <*>,0.3657,20.4,56
20,getTodayTotalDetailSteps = 1514041980000##7211##549659##8661##16256##30731730,partial,getTodayTotalDetailSteps = <*>,0.9717,getTodaySportData mStepsRecordManager=com.huawei.health.g.c@8a2a501,0.4545,new date <*> type<*>,0.4013,22.18,56
21,setTodayTotalDetailSteps=1514041980000##7212##549659##8661##16256##30732729,partial,getTodayTotalDetailSteps = <*>,0.9788,new date <*> type<*>,0.4131,"new date <*> type=40005,240.0,old=330.0",0.4036,21.95,56
22,calculateCaloriesWithCache totalCalories=131165,partial,calculateCaloriesWithCache totalCalories<*>,0.9784,calculateAltitudeWithCache totalAltitude=240,0.6933,checkInsertStatus stepSum or calorieSum is enough,0.5571,20.59,56
23,calculateAltitudeWithCache totalAltitude=240,exact,calculateAltitudeWithCache totalAltitude=240,1.0,calculateCaloriesWithCache totalCalories<*>,0.7089,checkInsertStatus stepStatSum or calorieStatSum is enough,0.4314,20.72,56
24,REPORT : 7212 5149 154481 240,partial,REPORT : <*> 240,0.9267,onExtend<*> 0 0 4,0.3432,onStandStepChanged <*>,0.3359,20.47,56
25,onStandStepChanged 3786,partial,onStandStepChanged <*>,0.9331,onExtend<*> 0 0 4,0.3309,REPORT : <*> 240,0.3234,20.6,56
26,onExtend:1514042088000 2 0 4,partial,onExtend<*> 0 0 4,0.9864,onStandStepChanged <*>,0.3738,InsertEvent success begin:25233975 <*>,0.362,21.04,56
27,getTodayTotalDetailSteps = 1514041980000##7212##549659##8661##16256##30732729,partial,getTodayTotalDetailSteps = <*>,0.9721,getTodaySportData mStepsRecordManager=com.huawei.health.g.c@8a2a501,0.4549,new date <*> type<*>,0.4092,22.3,56
28,setTodayTotalDetailSteps=1514041980000##7214##549659##8661##16256##30733226,partial,getTodayTotalDetailSteps = <*>,0.9809,new date <*> type<*>,0.4174,"new date <*> type=40044,420.0,old=420.0",0.4031,21.89,56
29,calculateCaloriesWithCache totalCalories=131208,partial,calculateCaloriesWithCache totalCalories<*>,0.9748,calculateAltitudeWithCache totalAltitude=240,0.7021,checkInsertStatus stepSum or calorieSum is enough,0.5535,20.34,56
30,calculateAltitudeWithCache totalAltitude=240,exact,calculateAltitudeWithCache totalAltitude=240,1.0,calculateCaloriesWithCache totalCalories<*>,0.709,checkInsertStatus stepStatSum or calorieStatSum is enough,0.4314,20.54,56
31,REPORT : 7214 5150 154523 240,partial,REPORT : <*> 240,0.9406,onStandStepChanged <*>,0.383,onExtend<*> 0 0 4,0.362,20.51,56
32,onStandStepChanged 3786,partial,onStandStepChanged <*>,0.9505,onExtend<*> 0 0 4,0.3309,REPORT : <*> 240,0.3261,20.41,56
33,onExtend:1514042091000 0 0 0,partial,onExtend<*> 0 0 4,0.9807,onStandStepChanged <*>,0.3704,InsertEvent success begin:25233975 <*>,0.3681,20.6,56
34,getTodayTotalDetailSteps = 1514041980000##7214##549659##8661##16256##30733226,partial,getTodayTotalDetailSteps = <*>,0.974,getTodaySportData mStepsRecordManager=com.huawei.health.g.c@8a2a501,0.4561,new date <*> type<*>,0.4116,22.19,56
35,setTodayTotalDetailSteps=1514041980000##7214##549659##8661##16256##30736730,partial,getTodayTotalDetailSteps = <*>,0.9795,new date <*> type<*>,0.4105,"new date <*> type=40005,240.0,old=330.0",0.3989,22.05,56
36,calculateCaloriesWithCache totalCalories=131208,partial,calculateCaloriesWithCache totalCalories<*>,0.9752,calculateAltitudeWithCache totalAltitude=240,0.7021,checkInsertStatus stepSum or calorieSum is enough,0.5535,20.64,56
37,calculateAltitudeWithCache totalAltitude=240,exact,calculateAltitudeWithCache totalAltitude=240,1.0,calculateCaloriesWithCache totalCalories<*>,0.7091,checkInsertStatus stepStatSum or calorieStatSum is enough,0.4314,20.51,56
38,processHandleBroadcastAction action:android.intent.action.TIME_TICK,exact,processHandleBroadcastAction action:android.intent.action.TIME_TICK,1.0,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,0.7753,onReceive action: android.intent.action.SCREEN_ON,0.4888,21.1,56
39,processHandleBroadcastAction action:android.intent.action.TIME_TICK,exact,processHandleBroadcastAction action:android.intent.action.TIME_TICK,1.0,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,0.7753,onReceive action: android.intent.action.SCREEN_ON,0.4888,20.76,56
40,onStandStepChanged 3786,partial,onStandStepChanged <*>,0.9619,onExtend<*> 0 0 4,0.3309,REPORT : <*> 240,0.3261,20.59,56
41,onExtend:1514042182000 0 0 5,partial,onExtend<*> 0 0 4,0.9855,InsertEvent success begin:25233975 <*>,0.3594,onStandStepChanged <*>,0.3474,20.51,56
42,getTodayTotalDetailSteps = 1514041980000##7214##549659##8661##16256##30736730,partial,getTodayTotalDetailSteps = <*>,0.974,getTodaySportData mStepsRecordManager=com.huawei.health.g.c@8a2a501,0.4589,new date <*> type<*>,0.405,22.05,56
43,setTodayTotalDetailSteps=1514042100000##7214##549659##8661##16256##30827730,partial,getTodayTotalDetailSteps = <*>,0.9745,new date <*> type<*>,0.4164,"new date <*> type=40005,240.0,old=330.0",0.4082,22.06,56
44,calculateCaloriesWithCache totalCalories=131208,partial,calculateCaloriesWithCache totalCalories<*>,0.9757,calculateAltitudeWithCache totalAltitude=240,0.7021,checkInsertStatus stepSum or calorieSum is enough,0.5535,20.78,56
45,calculateAltitudeWithCache totalAltitude=240,exact,calculateAltitudeWithCache totalAltitude=240,1.0,calculateCaloriesWithCache totalCalories<*>,0.7092,checkInsertStatus stepStatSum or calorieStatSum is enough,0.4314,20.57,56
46,onReceive action: android.intent.action.SCREEN_OFF,partial,onReceive action: android.intent.action.SCREEN_ON,0.9782,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,0.7426,processHandleBroadcastAction action:android.intent.action.TIME_TICK,0.4736,20.56,56
47,onStandStepChanged 3786,partial,onStandStepChanged <*>,0.9698,onExtend<*> 0 0 4,0.3309,REPORT : <*> 240,0.3261,20.39,56
48,onExtend:1514042205000 0 0 5,partial,onExtend<*> 0 0 4,0.9867,InsertEvent success begin:25233975 <*>,0.3679,onStandStepChanged <*>,0.3504,20.55,56
49,onExtend:1514042265000 0 0 0,partial,onExtend<*> 0 0 4,0.9696,InsertEvent success begin:25233975 <*>,0.379,onStandStepChanged <*>,0.376,20.48,56
50,onReceive action: android.intent.action.SCREEN_ON,partial,onReceive action: android.intent.action.SCREEN_ON,0.966,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,0.7843,processHandleBroadcastAction action:android.intent.action.TIME_TICK,0.4828,20.28,56
51,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,exact,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,1.0,onReceive action: android.intent.action.SCREEN_ON,0.7805,processHandleBroadcastAction action:android.intent.action.TIME_TICK,0.7753,20.76,56
52,flush sensor data,exact,flush sensor data,1.0,flush2DB result success,0.3924,flushTempCacheToDB by stand,0.3462,20.21,56
53,getTodayTotalDetailSteps = 1514042100000##7214##549659##8661##16256##30827730,partial,getTodayTotalDetailSteps = <*>,0.9804,getTodaySportData mStepsRecordManager=com.huawei.health.g.c@8a2a501,0.4509,new date <*> type<*>,0.4144,21.29,56
54,setTodayTotalDetailSteps=1514042160000##7214##549659##8661##16256##30905315,partial,getTodayTotalDetailSteps = <*>,0.9769,new date <*> type<*>,0.4177,"new date <*> type=40005,240.0,old=330.0",0.4097,21.88,56
55,onStandStepChanged 3786,partial,onStandStepChanged <*>,0.9755,onExtend<*> 0 0 4,0.3309,REPORT : <*> 240,0.3261,20.84,56
56,calculateCaloriesWithCache totalCalories=131208,partial,calculateCaloriesWithCache totalCalories<*>,0.9761,calculateAltitudeWithCache totalAltitude=240,0.7021,checkInsertStatus stepSum or calorieSum is enough,0.5535,20.65,56
57,calculateAltitudeWithCache totalAltitude=240,exact,calculateAltitudeWithCache totalAltitude=240,1.0,calculateCaloriesWithCache totalCalories<*>,0.7093,checkInsertStatus stepStatSum or calorieStatSum is enough,0.4314,20.69,56
58,REPORT : 7214 5150 154523 240,partial,REPORT : <*> 240,0.9543,onStandStepChanged <*>,0.3673,onExtend<*> 0 0 4,0.3619,20.53,56
59,onStandStepChanged 3786,partial,onStandStepChanged <*>,0.9797,onExtend<*> 0 0 4,0.3309,REPORT : <*> 240,0.3278,20.61,56
