log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,39.73,72
2,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,27.07,72
3,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,25.1,72
4,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,24.84,72
5,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,24.64,72
6,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,24.65,72
7,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,24.66,72
8,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,24.96,72
9,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,24.85,72
10,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,24.78,72
11,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,24.58,72
12,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,24.59,72
13,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,24.48,72
14,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,24.61,72
15,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,24.75,72
16,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,24.57,72
17,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,24.54,72
18,connection from <*> () at Sun Jul 17 <*> 2005,exact,connection from <*> () at Sun Jul 17 <*>,1.0,connection from <*> () at Sun Jul 10 <*>,0.9904,connection from <*> () at Thu Jul 7 <*>,0.9042,24.74,72
