log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,"NETWORK: requery, 0, 0, 0, 0, 291, items, fQueryRetries, 0, fLastRetryTimestamp, 521048893.3",exact,"NETWORK: requery, 0, 0, 0, 0, <*> items, fQueryRetries, 0, fLastRetryTimestamp, <*>",0.9953,"NETWORK: no response from server, reachability, 2, queryRetries, <*>",0.5525,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,0.3967,106.76,324
2,-[SFLListManager(ServiceReplyProtocol) notifyChanges:toListWithIdentifier:] Notified of item changes to list with identifier <*>,new,-[SFLListManager(ServiceReplyProtocol) notifyChanges:toListWithIdentifier:] Notified of item changes to list with identifier com.apple.LSSharedFileList.RecentApplications<*>,1.0,,0.0,,0.0,103.57,325
3,FA||Url||taskID[2019353614] dealloc,exact,FA||Url||taskID[2019353519] dealloc,0.9968,FA||Url||taskID[2019353410] dealloc,0.9961,FA||Url||taskID[2019353517] dealloc,0.9958,106.81,325
4,2017-07-06 09:24:14.417 ksfetch[36728/0x7fff79824000] [lvl=2] main() ksfetch fetching URL (<NSMutableURLRequest: 0x100602220> { URL: https://<*>/service/update2?cup2hreq=f5e83ec64ff3fc5533a3c206134a6517e274f9e1cb53df857e15049b6e4c9f8e&cup2key=7:1721929288 }) to folder:/tmp/KSOutOfProcessFetcher.aPWod5QMh1/download,partial,<*> ksfetch[32435/0x7fff79824000] [lvl=2] main() ksfetch fetching URL (<NSMutableURLRequest: <*> { URL: https://<*>/service/update2?cup2hreq=53f725cf03f511fab16f19e789ce64aa1eed72395fc246e9f1100748325002f4&cup2key=7:1132320327 }) to folder:/tmp/KSOutOfProcessFetcher.YH2CjY1tnx/download,0.9829,<*> ksfetch[35863/0x7fff79824000] [lvl=2] main() Fetcher received a request: <NSMutableURLRequest: <*> { URL: https://<*>/service/update2?cup2hreq=a7873a51b1cb55518e420d20dff47d463781ed3f7aa83c3153129eefb148070b&cup2key=7:2501762722 },0.8404,"<*> GoogleSoftwareUpdateAgent[36128/0x7000002a0000] [lvl=2] -[KSOutOfProcessFetcher beginFetchWithDelegate:] KSOutOfProcessFetcher fetching from URL: ""https://<*>/service/update2?cup2hreq=ac844e04cbb398fcef4cf81b4ffc44a3ebc863e89d19c0b5d39d02d78d26675b&cup2key=7:677488741""",0.717,117.98,325
5,2017-07-06 09:24:14.733 GoogleSoftwareUpdateAgent[36726/0x7000002a0000] [lvl=2] -[KSMultiUpdateAction performAction] KSPromptAction had no updates to apply.,partial,"<*> GoogleSoftwareUpdateAgent[32432/0x7000002a0000] [lvl=2] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'<*>'.",0.8406,<*> GoogleSoftwareUpdateAgent[35861/0x700000323000] [lvl=2] -[KSPrefetchAction performAction] KSPrefetchAction no updates to prefetch.,0.8395,"<*> GoogleSoftwareUpdateAgent[36436/0x7000002a0000] [lvl=2] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'<*>'.",0.8364,109.85,325
6,no sleep images for WillPowerOffWithImages,new,no sleep images for WillPowerOffWithImages,1.0,,0.0,,0.0,102.73,326
7,AppleCamIn::systemWakeCall - messageType = 0xE0000340,exact,AppleCamIn::systemWakeCall - messageType = <*>,0.999,AppleCamIn::handleWakeEvent_gated,0.711,AppleCamIn::wakeEventHandlerThread,0.6906,92.23,326
8,button report: 0x8002be0,partial,button report: <*>,0.9532,"pages <*> wire <*> act <*> inact <*> cleaned 0 spec <*> zf <*> throt 0, compr <*> xpmapped <*>",0.3532,ARPT: <*> framerdy <*> bmccmd <*> framecnt <*>,0.3485,91.78,326
9,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 12754 seconds. Ignoring.",partial,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 978 seconds. Ignoring.",0.9465,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",0.896,"<*>://DB05755C-483D-44B7-B93B-ED06E57FF420/CalDAVPrincipal/p11: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 59 seconds. Ignoring.",0.8711,91.95,326
10,ChromeExistion main isUndetectWithCommand = 1,new,ChromeExistion main isUndetectWithCommand = 1,1.0,,0.0,,0.0,91.99,327
11,after trim url = https://<*>/_/chrome/newtab?rlz=1C5CHFA_enHK732HK732&espv=2&ie=UTF-8,new,after trim url = https://<*>/_/chrome/newtab?rlz=1C5CHFA_enHK732HK732&espv=2&ie=UTF-8,1.0,,0.0,,0.0,93.13,328
12,send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.,exact,send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.,1.0,tcp_connection_destination_perform_socket_connect <*> connectx to <*>:143@0 failed: [50] Network is down,0.4696,"arp_client_transmit(en0) failed, Network is down (50)",0.4595,92.89,328
13,"ChromeExistion main strSendMsg = {""websitekey"":false,""commandkey"":true,""browserkey"":true}",fuzzy,ChromeExistion main isUndetectWithCommand = 1,0.6383,after trim url = https://<*>/_/chrome/newtab?rlz=1C5CHFA_enHK732HK732&espv=2&ie=UTF-8,0.462,"<*> GoogleSoftwareUpdateAgent[31702/0x7000002a0000] [lvl=2] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Checking with local engine: <KSUpdateEngine:0x100259c60 ticketStore=<KSPersistentTicketStore:0x100253770 store=<KSKeyedPersistentStore:0x100254d10 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile=<KSLockFile:0x100254d80 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/<*>"" locked=NO > >> processor=<KSActionProcessor:0x100259e70 delegate=<KSUpdateEngine:0x100259c60> isProcessing=NO actionsCompleted=0 progress=0.00 errors=0 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=( ) > delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:0x1002594d0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=0 >",0.3658,93.05,328
14,Location icon should now be in state 'Active',exact,Location icon should now be in state 'Active',1.0,Location icon should now be in state 'Inactive',0.9243,Error returned from iconservicesagent: (null),0.4088,99.56,328
15,ChromeExistion main isUndetectWithCommand = 1,partial,ChromeExistion main isUndetectWithCommand = 1,0.96,after trim url = https://<*>/_/chrome/newtab?rlz=1C5CHFA_enHK732HK732&espv=2&ie=UTF-8,0.4213,"Google Chrome He[36456] triggered unnest of range 0x7fff93c00000->0x7fff93e00000 of DYLD shared region in VM map <*> While not abnormal for debuggers, this increases system memory footprint until the target exits.",0.3742,104.06,328
16,url host = <*>,fuzzy,"setting hostname to ""<*>""",0.7101,after trim url = https://<*>/_/chrome/newtab?rlz=1C5CHFA_enHK732HK732&espv=2&ie=UTF-8,0.4354,ARPT: <*> wl0: MDNS: IPV4 Addr: <*>,0.3929,102.66,328
17,the url = http://<*>/item/%E8%93%9D%E9%87%87%E5%92%8C/462624?fr=aladdin,new,the url = http://<*>/item/%E8%93%9D%E9%87%87%E5%92%8C/462624?fr=aladdin,1.0,,0.0,,0.0,92.75,329
18,11:07:29.673 : Purged contact hashes,partial,<*> : Purged contact hashes,0.9583,<*> : Finished generating hashes,0.6534,<*> : Started generating hashes,0.6507,98.39,329
19,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,exact,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>,0.9983,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",0.8906,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,0.789,105.06,329
20,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,exact,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,1.0,-[NETClientConnection effectiveBundleID] using process name CalendarAgent as bundle ID (this is expected for daemons without bundle ID,0.7785,Daemon connection invalidated!,0.4278,91.98,329
21,ARPT: 739017.747240: ARPT: Wake Reason: Wake on Scan offload,partial,ARPT: <*> ARPT: Wake Reason: Wake on Scan offload,0.9763,ARPT: <*> ARPT: Wake Reason: Wake on TCP Timeout,0.7298,Wake reason: ARPT (Network),0.686,95.45,329
22,en0: channel changed to 1,exact,en0: channel changed to 1,1.0,en0: channel changed to 6,0.8919,en0: channel changed to <*>,0.8696,95.73,329
23,AirPort: Link Up on awdl0,exact,AirPort: Link Up on awdl0,1.0,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,0.8787,AirPort: Link Up on en0,0.8013,92.86,329
24,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,exact,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,1.0,-[NETClientConnection effectiveBundleID] using process name CalendarAgent as bundle ID (this is expected for daemons without bundle ID,0.7785,Daemon connection invalidated!,0.4278,92.58,329
25,network changed: DNS* Proxy,exact,network changed: DNS* Proxy,1.0,network changed: v6(en0-:2607:f140:6000:8:d8d1:d506:6046:43e4) DNS- Proxy-,0.8496,network changed: v4(en0-:<*>) v6(en0-:2607:f140:6000:8:c6b3:1ff:fecd:467f) DNS- Proxy-,0.8133,92.7,329
26,"en0: channel changed to 36,+1",partial,en0: channel changed to <*>,0.8859,en0: channel changed to 1,0.8799,en0: channel changed to 6,0.8668,92.27,329
27,<*>(36919) deny network-outbound /private/var/run/mDNSResponder,exact,<*>(36227) deny network-outbound /private/var/run/mDNSResponder,0.9948,<*>(36332) deny network-outbound /private/var/run/mDNSResponder,0.993,<*>(36491) deny network-outbound /private/var/run/mDNSResponder,0.9925,91.87,329
28,[<*>] [Adding [<CalDAVAccountRefreshQueueableOperation: 0x7fa11d67f3b0; Sequence: 0>] to failed operations.],new,[<*>] [Adding [<CalDAVAccountRefreshQueueableOperation: 0x7fa11d67f3b0; Sequence: 0>] to failed operations.],1.0,,0.0,,0.0,93.93,330
29,Received Capture Event,exact,Received Capture Event,1.0,CCFile::captureLog Received Capture notice id: <*> reason = AuthFail:sts:5_rsn:0,0.5145,CCFile::captureLog Received Capture notice id: <*> reason = RoamFail:sts:1_rsn:1,0.4903,92.86,330
30,"CCFile::captureLogRun Skipping current file Dir file [2017-07-06_12,00,58.629029]-AirPortBrcm4360_Logs-007.txt, Current File [2017-07-06_12,00,58.629029]-AirPortBrcm4360_Logs-007.txt",partial,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>,0.8609,CCFile::captureLog,0.7416,CCFile::captureLogRun() Exiting CCFile::captureLogRun,0.7181,96.77,330
31,ARPT: 739157.867474: wlc_dump_aggfifo:,partial,ARPT: <*> wlc_dump_aggfifo:,0.986,ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: <*>,0.57,ARPT: <*> wl0: setup_keepalive: Seq: <*> Ack: <*> Win size: <*>,0.5677,92.98,330
32,CCFile::captureLogRun() Exiting CCFile::captureLogRun,exact,CCFile::captureLogRun() Exiting CCFile::captureLogRun,1.0,CCFile::captureLog,0.8574,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>,0.7595,92.51,330
33,ARPT: 739163.832381: AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0,exact,ARPT: <*> AQM agg results <*> len hi/lo: <*> BAbitmap(0-3) 0 0 0 0,0.9957,ARPT: <*> AQM agg params <*> maxlen hi/lo <*> minlen <*> adjlen <*>,0.7817,ARPT: <*> wlc_dump_aggfifo:,0.4737,94.16,330
34,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,exact,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,1.0,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>,0.7934,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",0.7902,92.65,330
35,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,exact,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,0.9997,en0::IO80211Interface::postMessage bssid changed,0.4405,host connection <NSXPCConnection: 0x7fddbbb015c0> connection from pid <*> invalidated,0.4224,93.07,330
36,network changed: v6(en0-:2607:f140:6000:8:c6b3:1ff:fecd:467f) DNS- Proxy-,partial,network changed: v4(en0-:<*>) v6(en0-:2607:f140:6000:8:c6b3:1ff:fecd:467f) DNS- Proxy-,0.9609,network changed: v6(en0-:2607:f140:6000:8:d8d1:d506:6046:43e4) DNS- Proxy-,0.9309,network changed: <*> DNS<*> Proxy SMB,0.8469,93.23,330
37,CCFile::captureLogRun() Exiting CCFile::captureLogRun,exact,CCFile::captureLogRun() Exiting CCFile::captureLogRun,1.0,CCFile::captureLog,0.8574,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>,0.7595,103.51,330
38,"CCFile::captureLogRun Skipping current file Dir file [2017-07-06_12,03,00.133649]-CCIOReporter-028.xml, Current File [2017-07-06_12,03,00.133649]-CCIOReporter-028.xml",partial,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>,0.8874,CCFile::captureLogRun() Exiting CCFile::captureLogRun,0.7805,CCFile::captureLog,0.7517,108.45,330
39,ARPT: 739241.687186: AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0,exact,ARPT: <*> AQM agg results <*> len hi/lo: <*> BAbitmap(0-3) 0 0 0 0,0.9978,ARPT: <*> AQM agg params <*> maxlen hi/lo <*> minlen <*> adjlen <*>,0.774,ARPT: <*> wlc_dump_aggfifo:,0.4605,105.47,330
40,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,exact,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,1.0,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,0.5591,CCXPCService::setStreamEventHandler Registered for notification callback.,0.4331,92.61,330
41,"CCFile::captureLogRun Skipping current file Dir file [2017-07-06_12,03,02.449748]-AirPortBrcm4360_Logs-037.txt, Current File [2017-07-06_12,03,02.449748]-AirPortBrcm4360_Logs-037.txt",partial,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>,0.9205,CCFile::captureLog,0.7439,CCFile::captureLogRun() Exiting CCFile::captureLogRun,0.7155,96.26,330
42,"CCFile::captureLog Received Capture notice id: 1499367785.097211, reason = AuthFail:sts:5_rsn:0",exact,CCFile::captureLog Received Capture notice id: <*> reason = AuthFail:sts:5_rsn:0,0.9986,CCFile::captureLog Received Capture notice id: <*> reason = RoamFail:sts:1_rsn:1,0.9097,CCFile::captureLog,0.7905,93.74,330
43,dnssd_clientstub ConnectToServer: connect()-> No of tries: 1,exact,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,0.9992,dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:4 Err:-1 Errno:1 Operation not permitted,0.8397,[0706/011106:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,0.5321,92.5,330
44,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc24039 <*>:8080,partial,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.<*> tc<*> <*>,0.9881,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! NeteaseMusic.17988 <*> <*>:80,0.8304,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! QQ.<*> tc<*> <*>:80,0.7853,93.78,330
45,[0706/120312:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,exact,[0706/011106:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,0.9953,[0701/114930:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,0.993,[0705/190016:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,0.9836,93.15,330
46,ARPT: 739253.582611: wlc_dump_aggfifo:,partial,ARPT: <*> wlc_dump_aggfifo:,0.9826,ARPT: <*> wl0: setup_keepalive: Seq: <*> Ack: <*> Win size: <*>,0.5796,ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: <*>,0.5775,103.33,330
47,"CCFile::captureLog Received Capture notice id: 1499367792.155080, reason = AuthFail:sts:5_rsn:0",exact,CCFile::captureLog Received Capture notice id: <*> reason = AuthFail:sts:5_rsn:0,0.9983,CCFile::captureLog Received Capture notice id: <*> reason = RoamFail:sts:1_rsn:1,0.9075,CCFile::captureLog,0.7973,109.98,330
