log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9723,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.5974,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,29.36,15
2,Failed password for root from <*> port 52316 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.9376,<*> rhost=<*> user=root,0.5274,Invalid user cyrus from <*>,0.3083,12.54,15
3,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> failures<*> <*> methods<*> available. [preauth],0.8981,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5328,11.87,15
4,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9754,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.5974,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,11.88,15
5,Failed password for root from <*> port 52590 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.9138,<*> rhost=<*> user=root,0.5232,Invalid user <*> from <*>,0.336,10.96,15
6,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> failures<*> <*> methods<*> available. [preauth],0.9187,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5328,10.12,15
7,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.978,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.5974,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,11.18,15
8,Failed password for root from <*> port 53021 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.9305,<*> rhost=<*> user=root,0.5201,Invalid user cyrus from <*>,0.3289,9.89,15
9,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> failures<*> <*> methods<*> available. [preauth],0.9337,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5328,9.94,15
10,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9803,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.5973,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,11.05,15
11,Failed password for root from <*> port 53440 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.9081,<*> rhost=<*> user=root,0.4669,Invalid user cyrus from <*>,0.3139,10.63,15
12,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> failures<*> <*> methods<*> available. [preauth],0.9449,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5328,10.07,15
13,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9822,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.5972,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,11.04,15
14,Failed password for root from <*> port 53891 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.9151,<*> rhost=<*> user=root,0.498,Invalid user cyrus from <*>,0.3093,9.97,15
15,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> failures<*> <*> methods<*> available. [preauth],0.9535,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5328,10.12,15
16,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9838,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.5971,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,11.21,15
17,Failed password for root from <*> port 54339 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.9294,<*> rhost=<*> user=root,0.5123,Invalid user cyrus from <*>,0.338,10.03,15
18,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> failures<*> <*> methods<*> available. [preauth],0.9603,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5328,10.03,15
19,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9852,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.597,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,11.27,15
20,Failed password for root from <*> port 54699 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.9199,<*> rhost=<*> user=root,0.5161,Invalid user cyrus from <*>,0.3425,9.86,15
21,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> failures<*> <*> methods<*> available. [preauth],0.9657,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5328,9.88,15
22,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9865,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.5969,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,11.04,15
23,Failed password for root from <*> port 55069 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.9006,<*> rhost=<*> user=root,0.5311,Invalid user cyrus from <*>,0.3337,9.78,15
24,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> failures<*> <*> methods<*> available. [preauth],0.97,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5328,10.03,15
25,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9876,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.597,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,11.17,15
26,Failed password for root from <*> port 55577 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.8806,<*> rhost=<*> user=root,0.5131,Invalid user cyrus from <*>,0.3028,10.03,15
27,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> failures<*> <*> methods<*> available. [preauth],0.9736,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5328,9.97,15
28,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9886,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.597,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,11.09,15
29,Failed password for root from <*> port 55956 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.9468,<*> rhost=<*> user=root,0.5264,Invalid user cyrus from <*>,0.3212,9.76,15
30,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> failures<*> <*> methods<*> available. [preauth],0.9766,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5328,9.87,15
31,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,partial,<*> rhost=<*> user=root,0.9894,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.5969,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,11.23,15
32,Failed password for root from <*> port 56319 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.9481,<*> rhost=<*> user=root,0.5302,Invalid user cyrus from <*>,0.3268,9.85,15
33,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> failures<*> <*> methods<*> available. [preauth],0.9791,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5328,9.94,15
34,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,exact,<*> rhost=<*> user=root,0.9902,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.5968,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,10.99,15
35,Failed password for root from <*> port 56847 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.9422,<*> rhost=<*> user=root,0.5044,Invalid user cyrus from <*>,0.3281,9.92,15
36,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> failures<*> <*> methods<*> available. [preauth],0.9812,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5328,9.88,15
37,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,exact,<*> rhost=<*> user=root,0.9909,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.5967,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,11.23,15
38,Failed password for root from <*> port 57092 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.9242,<*> rhost=<*> user=root,0.5382,Invalid user <*> from <*>,0.3147,11.26,15
39,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> failures<*> <*> methods<*> available. [preauth],0.983,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5328,10.56,15
40,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,exact,<*> rhost=<*> user=root,0.9915,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.5966,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,11.14,15
41,Failed password for root from <*> port 57485 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.9394,<*> rhost=<*> user=root,0.5116,Invalid user cyrus from <*>,0.3338,10.11,15
42,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> failures<*> <*> methods<*> available. [preauth],0.9846,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5328,10.7,15
43,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,exact,<*> rhost=<*> user=root,0.992,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.5965,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,11.42,15
44,Failed password for root from <*> port 57998 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.9496,<*> rhost=<*> user=root,0.5375,Invalid user cyrus from <*>,0.343,10.13,15
45,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> failures<*> <*> methods<*> available. [preauth],0.986,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5328,11.08,15
46,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,exact,<*> rhost=<*> user=root,0.9925,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.5965,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,11.13,15
47,Failed password for root from <*> port 58430 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.9262,<*> rhost=<*> user=root,0.5223,Invalid user cyrus from <*>,0.2901,9.94,15
48,Received disconnect from <*>: 11: Bye Bye [preauth],partial,<*> failures<*> <*> methods<*> available. [preauth],0.9871,Received disconnect from <*>: 11: disconnected by user,0.7321,input_userauth_request: invalid user <*> [preauth],0.5328,9.89,15
49,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,exact,<*> rhost=<*> user=root,0.993,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.5964,pam_unix(sshd:session): session <*> for user fztu by (uid=0),0.5932,11.05,15
50,Failed password for root from <*> port 58882 ssh2,partial,Failed password for <*> for<*> <*> from<*> ssh2 port <*> ssh2],0.906,<*> rhost=<*> user=root,0.4966,Invalid user cyrus from <*>,0.2967,9.87,15
