log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,Active base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,exact,Active base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,1.0,Removable base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,0.871,Unknown base file: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,0.84,55.74,123
2,"<*> ""GET <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",exact,"<*> ""GET <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",1.0,"<*> ""POST <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.8917,"<*> ""DELETE <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.7937,43.0,123
3,"<*> ""GET <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",exact,"<*> ""GET <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",1.0,"<*> ""POST <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.8917,"<*> ""DELETE <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.7937,49.09,123
4,"<*> ""GET <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",exact,"<*> ""GET <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",1.0,"<*> ""POST <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.8917,"<*> ""DELETE <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.7937,40.06,123
5,"<*> ""GET <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",exact,"<*> ""GET <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",1.0,"<*> ""POST <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.8917,"<*> ""DELETE <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.7937,42.82,123
6,"<*> ""GET <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",exact,"<*> ""GET <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",1.0,"<*> ""POST <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.8917,"<*> ""DELETE <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.7937,39.19,123
7,"<*> ""GET <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",exact,"<*> ""GET <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",1.0,"<*> ""POST <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.8917,"<*> ""DELETE <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.7937,39.08,123
8,image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>checking,exact,image <*> at (<*>checking,1.0,[instance: fecdd<*>a<*>-<*>ca<*>-<*>c<*>-<*>-<*>b<*>f<*>e] Creating image,0.7025,[instance: <*> Creating image,0.6709,40.69,123
9,"image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>in use: on this node <*> local, <*> on other nodes sharing this instance storage",exact,"image <*> at (<*>in use: on this node node<*> local, local<*> on other nodes sharing this instance storage",1.0,image <*> at (<*>checking,0.6627,[instance: <*>ea<*>-cbf<*>-<*>f<*>e-<*>fe-<*>fd<*>f<*>] Creating image,0.5238,41.29,123
10,Active base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,exact,Active base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,1.0,Removable base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,0.871,Unknown base file: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,0.84,40.62,123
11,Creating event network-vif-plugged:<*>c<*>f-<*>d<*>-<*>-ae<*>b-<*>bca<*>d<*>a<*> for instance be<*>e<*>-<*>cc<*>-<*>f<*>-<*>-<*>c<*>a<*>a<*>bc,partial,Creating event network<*> for instance <*>,0.9807,[instance: <*> VM <*> (Lifecycle Event),0.4981,[instance: <*>a<*>d<*>-<*>b<*>-<*>c<*>-b<*>-<*>a<*>cadf] VM <*> (Lifecycle Event),0.4796,43.34,123
12,"<*> ""POST <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",exact,"<*> ""POST <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",1.0,"<*> ""GET <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.8917,"<*> ""DELETE <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.8163,39.42,123
13,[instance: be<*>e<*>-<*>cc<*>-<*>f<*>-<*>-<*>c<*>a<*>a<*>bc] VM Resumed (Lifecycle Event),partial,[instance: <*> VM Resumed (Lifecycle Event),0.9663,[instance: <*> VM <*> (Lifecycle Event),0.9107,[instance: <*> VM Stopped (Lifecycle Event),0.8885,40.96,123
14,[instance: be<*>e<*>-<*>cc<*>-<*>f<*>-<*>-<*>c<*>a<*>a<*>bc] Instance spawned successfully.,partial,[instance: <*> Instance spawned successfully.,0.9465,[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Instance spawned successfully.,0.832,[instance: fecdd<*>a<*>-<*>ca<*>-<*>c<*>-<*>-<*>b<*>f<*>e] Instance spawned successfully.,0.828,41.32,123
15,[instance: be<*>e<*>-<*>cc<*>-<*>f<*>-<*>-<*>c<*>a<*>a<*>bc] Took <*>.<*> seconds to spawn the instance on the hypervisor.,partial,[instance: <*> Took <*> seconds to spawn the instance on the hypervisor.,0.9646,[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Took <*> seconds to <*> the instance on the hypervisor.,0.877,[instance: <*> Took <*> seconds to destroy the instance on the hypervisor.,0.8705,42.02,123
16,[instance: be<*>e<*>-<*>cc<*>-<*>f<*>-<*>-<*>c<*>a<*>a<*>bc] During sync_power_state the instance has a pending task (spawning). Skip.,partial,[instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,0.9812,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",0.6083,[instance: <*> Took <*> seconds to spawn the instance on the hypervisor.,0.6011,41.14,123
17,[instance: be<*>e<*>-<*>cc<*>-<*>f<*>-<*>-<*>c<*>a<*>a<*>bc] VM Resumed (Lifecycle Event),partial,[instance: <*> VM Resumed (Lifecycle Event),0.9721,[instance: <*> VM <*> (Lifecycle Event),0.9107,[instance: <*> VM Stopped (Lifecycle Event),0.8885,40.91,123
18,[instance: be<*>e<*>-<*>cc<*>-<*>f<*>-<*>-<*>c<*>a<*>a<*>bc] Took <*>.<*> seconds to build instance.,partial,[instance: <*> Took <*> seconds to build instance.,0.9554,[instance: b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Took <*> seconds to build instance.,0.8586,[instance: <*>dc<*>-<*>-<*>cc-<*>e-<*>b<*>c<*>dcf] Took <*> seconds to build instance.,0.8434,41.57,123
19,"<*> ""GET <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",exact,"<*> ""GET <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",1.0,"<*> ""POST <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.8917,"<*> ""DELETE <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.7937,39.15,123
20,"<*> ""GET <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",exact,"<*> ""GET <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",1.0,"<*> ""POST <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.8917,"<*> ""DELETE <*>HTTP<*>status: HTTP<*> len: <*> time: <*>",0.7937,39.0,123
