log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,Got assigned task 1239,partial,Got assigned task <*>,0.845,Got assigned task 590,0.7938,Got assigned task 360,0.7801,31.41,33
2,Running task 39.0 in stage 26.0 (TID 1239),partial,Running task <*> in stage <*> (TID <*>,0.9186,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6594,Got assigned task <*>,0.5333,17.56,33
3,"Times: total = 47, boot = 17, init = 23, finish = 7",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9657,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3854,Got assigned task 273,0.2706,15.79,33
4,"Partition rdd_42_38 not found, computing it",partial,"Partition rdd_<*> not found, computing it",0.9616,Found block rdd_<*> locally,0.5471,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.5171,15.71,33
5,Input split: hdfs://<*>:9000/pjhe/logs/2kSOSP.log:277096+7292,exact,Input split: hdfs<*>,0.998,Saved output of task <*> to hdfs<*>,0.6283,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,0.3742,15.65,33
6,"Partition rdd_42_39 not found, computing it",partial,"Partition rdd_<*> not found, computing it",0.9693,Found block rdd_<*> locally,0.5551,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.5224,14.65,33
7,Input split: hdfs://<*>:9000/pjhe/logs/2kSOSP.log:284388+7303,exact,Input split: hdfs<*>,0.9964,Saved output of task <*> to hdfs<*>,0.6298,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,0.3798,15.82,33
8,"Block rdd_42_35 stored as bytes in memory (estimated size 917.0 <*>, free 834.6 <*>)",partial,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.9752,Found block rdd_<*> locally,0.6092,"Partition rdd_<*> not found, computing it",0.5368,15.45,33
9,"Times: total = 53, boot = 8, init = 40, finish = 5",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.97,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3625,Server created on <*>,0.2405,14.92,33
10,"Times: total = 53, boot = 12, init = 36, finish = 5",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9612,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3672,Reading broadcast variable <*> took <*> ms,0.2426,14.8,33
11,"Block rdd_42_37 stored as bytes in memory (estimated size 939.0 <*>, free 835.5 <*>)",partial,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.9801,Found block rdd_<*> locally,0.6173,"Partition rdd_<*> not found, computing it",0.5359,15.26,33
12,"Block rdd_42_36 stored as bytes in memory (estimated size 912.0 <*>, free 836.4 <*>)",partial,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.9825,Found block rdd_<*> locally,0.6211,"Partition rdd_<*> not found, computing it",0.543,15.02,33
13,"Times: total = 41, boot = 9, init = 31, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9733,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3751,Got assigned task 273,0.2515,14.79,33
14,Finished task 35.0 in stage 26.0 (TID 1235). 2705 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9595,Running task <*> in stage <*> (TID <*>,0.6137,Got assigned task 273,0.4792,20.78,33
15,"Times: total = 48, boot = 17, init = 25, finish = 6",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9579,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3773,Got assigned task 273,0.2475,20.22,33
16,"Times: total = 51, boot = 8, init = 38, finish = 5",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9745,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3574,Got assigned task 273,0.2394,21.16,33
17,"Block rdd_42_38 stored as bytes in memory (estimated size 974.0 <*>, free 837.4 <*>)",partial,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.9808,Found block rdd_<*> locally,0.6115,"Partition rdd_<*> not found, computing it",0.5306,35.27,33
18,"Block rdd_42_39 stored as bytes in memory (estimated size 877.0 <*>, free 838.2 <*>)",partial,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.9837,Found block rdd_<*> locally,0.6273,"Partition rdd_<*> not found, computing it",0.5423,29.96,33
19,"Times: total = 40, boot = 24, init = 16, finish = 0",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9711,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3898,Reading broadcast variable <*> took <*> ms,0.2671,43.45,33
20,"Times: total = 42, boot = 22, init = 19, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9786,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3972,Got assigned task 273,0.269,24.79,33
21,Finished task 36.0 in stage 26.0 (TID 1236). 2705 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9626,Running task <*> in stage <*> (TID <*>,0.6094,Got assigned task 273,0.4875,49.32,33
22,Finished task 37.0 in stage 26.0 (TID 1237). 2705 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9663,Running task <*> in stage <*> (TID <*>,0.6085,Got assigned task 273,0.4993,25.61,33
23,"Times: total = 40, boot = 13, init = 27, finish = 0",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9807,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3987,Reading broadcast variable <*> took <*> ms,0.2592,35.74,33
24,"Times: total = 38, boot = 18, init = 20, finish = 0",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9723,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3946,Got assigned task 273,0.256,29.16,33
25,Finished task 38.0 in stage 26.0 (TID 1238). 2703 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9742,Running task <*> in stage <*> (TID <*>,0.6152,Got assigned task 273,0.4997,31.26,33
26,Finished task 39.0 in stage 26.0 (TID 1239). 2703 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9733,Running task <*> in stage <*> (TID <*>,0.6189,Got assigned task <*>,0.4968,30.33,33
27,Got assigned task 1240,partial,Got assigned task <*>,0.8737,Got assigned task 590,0.8144,Got assigned task 360,0.7788,15.52,33
28,Running task 0.0 in stage 27.0 (TID 1240),partial,Running task <*> in stage <*> (TID <*>,0.9537,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6519,Got assigned task <*>,0.463,15.75,33
29,Got assigned task 1241,partial,Got assigned task <*>,0.9127,Got assigned task 590,0.7982,Got assigned task 360,0.7774,14.54,33
30,Running task 1.0 in stage 27.0 (TID 1241),partial,Running task <*> in stage <*> (TID <*>,0.9439,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.637,Got assigned task <*>,0.4992,14.6,33
31,Got assigned task 1242,partial,Got assigned task <*>,0.9271,Got assigned task 590,0.7785,Got assigned task 360,0.7704,14.32,33
32,Started reading broadcast variable 38,partial,Started reading broadcast variable <*>,0.9556,Reading broadcast variable <*> took <*> ms,0.7783,"Block broadcast_<*> stored as <*> in memory (estimated size <*> <*>, free <*> <*>)",0.4869,14.4,33
33,Running task 2.0 in stage 27.0 (TID 1242),partial,Running task <*> in stage <*> (TID <*>,0.9328,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6557,Got assigned task <*>,0.4925,14.91,33
34,Got assigned task 1243,partial,Got assigned task <*>,0.9459,Got assigned task 590,0.7856,Got assigned task 360,0.7801,14.33,33
35,Running task 3.0 in stage 27.0 (TID 1243),partial,Running task <*> in stage <*> (TID <*>,0.9126,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.626,Got assigned task <*>,0.4851,14.58,33
36,Got assigned task 1244,partial,Got assigned task <*>,0.9444,Got assigned task 590,0.7903,Got assigned task 360,0.7844,14.29,33
37,Running task 4.0 in stage 27.0 (TID 1244),partial,Running task <*> in stage <*> (TID <*>,0.9147,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6096,Got assigned task <*>,0.4609,14.53,33
38,"Block broadcast_38_piece0 stored as bytes in memory (estimated size 5.8 <*>, free 844.0 <*>)",partial,"Block broadcast_<*> stored as <*> in memory (estimated size <*> <*>, free <*> <*>)",0.9588,Reading broadcast variable <*> took <*> ms,0.5048,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.4932,15.74,33
39,Reading broadcast variable 38 took 11 ms,partial,Reading broadcast variable <*> took <*> ms,0.9633,Started reading broadcast variable <*>,0.788,"Block broadcast_<*> stored as <*> in memory (estimated size <*> <*>, free <*> <*>)",0.5166,14.76,33
40,"Block broadcast_38 stored as values in memory (estimated size 9.6 <*>, free 853.7 <*>)",partial,"Block broadcast_<*> stored as <*> in memory (estimated size <*> <*>, free <*> <*>)",0.9439,Reading broadcast variable <*> took <*> ms,0.5502,Started reading broadcast variable <*>,0.5028,15.35,33
41,Found block rdd_42_0 locally,partial,Found block rdd_<*> locally,0.9502,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6528,"Partition rdd_<*> not found, computing it",0.6055,14.46,33
42,Found block rdd_42_4 locally,partial,Found block rdd_<*> locally,0.9493,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6323,"Partition rdd_<*> not found, computing it",0.6073,14.68,33
43,Found block rdd_42_2 locally,partial,Found block rdd_<*> locally,0.9562,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6383,"Partition rdd_<*> not found, computing it",0.6058,14.43,33
44,Found block rdd_42_3 locally,partial,Found block rdd_<*> locally,0.9537,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6197,"Partition rdd_<*> not found, computing it",0.6069,14.32,33
45,Found block rdd_42_1 locally,partial,Found block rdd_<*> locally,0.9586,"Block rdd_<*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)",0.6436,"Partition rdd_<*> not found, computing it",0.608,14.13,33
46,"Times: total = 39, boot = -108, init = 146, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9804,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.4192,Got assigned task <*>,0.2926,14.49,33
47,"Times: total = 42, boot = -77, init = 118, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9813,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.4099,Got assigned task 273,0.3061,14.77,33
48,Finished task 0.0 in stage 27.0 (TID 1240). 2474 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9828,Running task <*> in stage <*> (TID <*>,0.6661,Got assigned task 273,0.4848,15.76,33
49,"Times: total = 41, boot = -71, init = 111, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9788,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.3943,Got assigned task 273,0.2643,14.86,33
50,"Times: total = 39, boot = -64, init = 102, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9625,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.423,Reading broadcast variable <*> took <*> ms,0.3058,14.74,33
51,Finished task 4.0 in stage 27.0 (TID 1244). 2685 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.969,Running task <*> in stage <*> (TID <*>,0.6385,Got assigned task <*>,0.492,15.18,33
52,"Times: total = 42, boot = -66, init = 107, finish = 1",partial,Times: total = <*> boot = <*> init = <*> finish = <*>,0.9777,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.4073,Got assigned task 273,0.3069,14.82,33
53,Finished task 2.0 in stage 27.0 (TID 1242). 2523 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.976,Running task <*> in stage <*> (TID <*>,0.6384,Got assigned task <*>,0.4883,14.94,33
54,Got assigned task 1245,partial,Got assigned task <*>,0.9442,Got assigned task 590,0.7934,Got assigned task 360,0.7777,14.65,33
55,Running task 5.0 in stage 27.0 (TID 1245),partial,Running task <*> in stage <*> (TID <*>,0.9273,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6242,Got assigned task <*>,0.4832,14.64,33
56,Finished task 3.0 in stage 27.0 (TID 1243). 2651 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9676,Running task <*> in stage <*> (TID <*>,0.6171,Got assigned task <*>,0.479,15.09,33
57,Got assigned task 1246,partial,Got assigned task <*>,0.9658,Got assigned task 590,0.8091,Got assigned task 360,0.7992,14.3,33
58,Finished task 1.0 in stage 27.0 (TID 1241). 2428 bytes result sent to driver,partial,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.9813,Running task <*> in stage <*> (TID <*>,0.6554,Got assigned task 273,0.4804,15.11,33
59,Running task 6.0 in stage 27.0 (TID 1246),partial,Running task <*> in stage <*> (TID <*>,0.9175,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,0.6264,Got assigned task <*>,0.4663,14.7,33
60,Got assigned task 1247,partial,Got assigned task <*>,0.9666,Got assigned task 590,0.798,Got assigned task 360,0.7877,14.39,33
