log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,Warning: we failed to resolve data source name bn654 bn655 bn656 bn657 bn658 bn659 bn660 bn661 bn662 bn663 bn664 bn665 bn666 bn667 bn668 bn669 bn670 bn671 bn672 bn673 bn674 bn675 bn676 bn677 bn678 bn679 bn680 bn681 bn682 bn683 bn684 bn685 bn686 bn687 bn688 bn689 bn690 bn691 bn692 bn693 bn694 bn695 bn696 bn697 bn698 bn699 bn700 bn701 bn702 bn703 bn704 bn705 bn706 bn707 bn708 bn709 bn710 bn711 bn712 bn713 bn714 bn715 bn716 bn717 bn718 bn719 bn720 bn721 bn722 bn723 bn724 bn725 bn726 bn727 bn728 bn729 bn730 bn731 bn732 bn733 bn734 bn735 bn736 bn737 bn738 bn739 bn740 bn741 bn742 bn743 bn744 bn745 bn746 bn747 bn748 bn749 bn750 bn751 bn752 bn753 bn754 bn755 bn756 bn757 bn758 bn759 bn760 bn761 bn762 bn763 bn764 bn765 bn766 bn767 bn768,partial,Warning: we failed to resolve data source name bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*>,0.9762,Warning: we failed to resolve data source name an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*> an<*>,0.7943,Wait for ready failed before probe !,0.3542,86.59,148
2,Warning: we failed to resolve data source name dadmin2 dadmin3 dadmin4,new,Warning: we failed to resolve data source name dadmin2 dadmin3 dadmin4,1.0,,0.0,,0.0,51.06,149
3,"connection from ""#28#""",exact,"connection from ""#28#""",1.0,#39# (Release Date: Mon Sep 27 <*> EDT 2004),0.5143,Received SNMP packet(s) from #34#,0.4894,47.47,149
4,data_thread() got not answer from any [Thunderbird_C6] datasource,exact,data_thread() got not answer from any <*> datasource,0.9902,asking for cache data failed,0.297,"jA<*> to=root, ctladdr=root (0/0), delay<*> xdelay=00:00:00, mailer=relay, pri<*> relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",0.2773,47.07,149
5,RRD_update (/var/lib/ganglia/rrds/C Nodes/cn776/pkts_out.rrd): illegal attempt to update using time 1131559854 when last update time is 1131559854 (minimum one second step),exact,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),0.9914,kernel time sync disabled <*>,0.353,rpc.statd startup succeeded,0.3462,48.28,149
6,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time 1131559854 when last update time is 1131559854 (minimum one second step),exact,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),0.9974,kernel time sync disabled <*>,0.3611,rpc.statd startup succeeded,0.3292,48.3,149
7,RRD_update (/var/lib/ganglia/rrds/unspecified/badmin3/disk_total.rrd): illegal attempt to update using time 1131559854 when last update time is 1131559854 (minimum one second step),partial,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),0.8994,Disk quotas dquot_6.5.1,0.3723,Unknown cmd fd(5) cmd(80081272){00} arg(ffffda44) on /dev/sda,0.3534,48.28,149
8,data_thread() got not answer from any [Thunderbird_A1] datasource,partial,data_thread() got not answer from any <*> datasource,0.9733,asking for cache data failed,0.2757,"jA<*> to=root, ctladdr=root (0/0), delay<*> xdelay=00:00:00, mailer=relay, pri<*> relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",0.2735,45.89,149
9,data_thread() got not answer from any [Thunderbird_A2] datasource,partial,data_thread() got not answer from any <*> datasource,0.9815,asking for cache data failed,0.2878,"jA<*> to=root, ctladdr=root (0/0), delay<*> xdelay=00:00:00, mailer=relay, pri<*> relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",0.2781,45.42,149
10,data_thread() got not answer from any [Thunderbird_A3] datasource,partial,data_thread() got not answer from any <*> datasource,0.9865,asking for cache data failed,0.2981,"jA<*> to=root, ctladdr=root (0/0), delay<*> xdelay=00:00:00, mailer=relay, pri<*> relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",0.2767,45.4,149
