log_id,normalised,match_type,top1_template,top1_score,top2_template,top2_score,top3_template,top3_score,latency_ms,store_size
1,caught end of stream exception,exact,caught end of stream exception,1.0,<*> - ERROR [LearnerHandler-<*>:LearnerHandler@562] - Unexpected exception causing shutdown while sock still open,0.3761,Interrupted while waiting for message on queue,0.3684,29.28,45
2,Client attempting to establish new session at <*>,exact,Client attempting to establish new session at <*>,1.0,Client attempting to renew session <*> at <*>,0.681,Closed socket connection for client <*> (no session established for client),0.6054,20.5,45
3,Established session 0x24f0557806a001e with negotiated timeout 10000 for client <*>,exact,Established session <*> with negotiated timeout <*> for client <*>,0.9905,Expiring session <*> timeout of <*> exceeded,0.6882,Client attempting to renew session <*> at <*>,0.677,19.02,45
4,Connection request from old client <*>; will be dropped if server is in r-o mode,exact,Connection request from old client <*>; will be dropped if server is in r-o mode,1.0,Closed socket connection for client <*> (no session established for client),0.5625,"Have smaller server identifier, so dropping the connection: (2, 1)",0.5493,18.17,45
5,Connection request from old client <*>; will be dropped if server is in r-o mode,exact,Connection request from old client <*>; will be dropped if server is in r-o mode,1.0,Closed socket connection for client <*> (no session established for client),0.5625,"Have smaller server identifier, so dropping the connection: (2, 1)",0.5493,17.94,45
6,Revalidating client: 0x24f0557806a001c,partial,Revalidating client: <*>,0.9247,Client attempting to renew session <*> at <*>,0.6011,Established session <*> with negotiated timeout <*> for client <*>,0.472,18.03,45
7,autopurge.purgeInterval set to 0,exact,autopurge.purgeInterval set to 0,1.0,autopurge.snapRetainCount set to 3,0.3731,Expiring session <*> timeout of <*> exceeded,0.3046,17.74,45
8,maxSessionTimeout set to -1,new,maxSessionTimeout set to -1,1.0,,0.0,,0.0,17.97,46
9,Received connection request <*>,exact,Received connection request <*>,1.0,Accepted socket connection from <*>,0.6767,Connection request from old client <*>; will be dropped if server is in r-o mode,0.4974,17.71,46
10,FOLLOWING,exact,FOLLOWING,1.0,LOOKING,0.437,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state)",0.3104,19.7,46
11,Connection request from old client <*>; will be dropped if server is in r-o mode,exact,Connection request from old client <*>; will be dropped if server is in r-o mode,1.0,Closed socket connection for client <*> (no session established for client),0.5625,"Have smaller server identifier, so dropping the connection: (2, 1)",0.5493,20.01,46
12,Accepted socket connection from <*>,exact,Accepted socket connection from <*>,1.0,Received connection request <*>,0.6767,Closed socket connection for client <*> (no session established for client),0.6361,18.28,46
13,Client attempting to renew session 0x24f0557806a0020 at <*>,partial,Client attempting to renew session <*> at <*>,0.9543,Established session <*> with negotiated timeout <*> for client <*>,0.6944,Client attempting to establish new session at <*>,0.6774,18.44,46
14,caught end of stream exception,exact,caught end of stream exception,1.0,<*> - ERROR [LearnerHandler-<*>:LearnerHandler@562] - Unexpected exception causing shutdown while sock still open,0.3761,Interrupted while waiting for message on queue,0.3684,18.47,46
15,Closed socket connection for client <*> which had sessionid 0x24f0557806a001b,exact,Closed socket connection for client <*> which had sessionid <*>,0.9915,Closed socket connection for client <*> (no session established for client),0.867,Established session <*> with negotiated timeout <*> for client <*>,0.6294,18.87,46
16,Established session 0x24f1724b8af0009 with negotiated timeout 10000 for client <*>,partial,Established session <*> with negotiated timeout <*> for client <*>,0.9865,Client attempting to renew session <*> at <*>,0.6896,Processed session termination for sessionid: <*>,0.6711,18.52,46
17,Accepted socket connection from <*>,exact,Accepted socket connection from <*>,1.0,Received connection request <*>,0.6767,Closed socket connection for client <*> (no session established for client),0.6361,18.03,46
18,Server environment:java.class.path=/etc/zookeeper/conf:/usr/share/java/jline.jar:/usr/share/java/log4j-1.2.jar:/usr/share/java/xercesImpl.jar:/usr/share/java/xmlParserAPIs.jar:/usr/share/java/netty.jar:/usr/share/java/slf4j-api.jar:/usr/share/java/slf4j-log4j12.jar:/usr/share/java/zookeeper.jar,fuzzy,"Server environment:zookeeper.version=3.4.5--1, built on <*> 17:26 GMT",0.7389,Snapshotting: <*> to <*>,0.6286,Server environment:user.name=zookeeper,0.6113,26.89,46
19,Have quorum of supporters; starting up and setting last processed zxid: 0xb00000000,new,Have quorum of supporters; starting up and setting last processed zxid: 0xb00000000,1.0,,0.0,,0.0,19.17,47
20,"Notification: 2 (n.leader), 0xa0000009a (n.zxid), 0x1 (n.round), FOLLOWING (n.state), 1 (n.sid), 0xa (n.peerEPoch), LEADING (my state)",partial,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state)",0.9709,"New election. My id = 1, proposed <*>",0.4675,Have quorum of supporters; starting up and setting last processed zxid: 0xb00000000,0.4592,20.82,47
21,"Expiring session 0x14f1724a6e80011, timeout of 10000ms exceeded",partial,Expiring session <*> timeout of <*> exceeded,0.9403,Established session <*> with negotiated timeout <*> for client <*>,0.725,Processed session termination for sessionid: <*>,0.6448,22.4,47
22,Processed session termination for sessionid: 0x34f1724a35e000c,partial,Processed session termination for sessionid: <*>,0.9878,Established session <*> with negotiated timeout <*> for client <*>,0.6699,Client attempting to renew session <*> at <*>,0.6391,20.26,47
23,Processed session termination for sessionid: 0x14f1724a6e8000d,partial,Processed session termination for sessionid: <*>,0.9782,Client attempting to renew session <*> at <*>,0.6744,Established session <*> with negotiated timeout <*> for client <*>,0.6576,18.76,47
24,Client attempting to establish new session at <*>,exact,Client attempting to establish new session at <*>,1.0,Client attempting to renew session <*> at <*>,0.6869,Closed socket connection for client <*> (no session established for client),0.6054,18.73,47
25,"Expiring session 0x14f3fdae8ba0002, timeout of 10000ms exceeded",partial,Expiring session <*> timeout of <*> exceeded,0.967,Established session <*> with negotiated timeout <*> for client <*>,0.7089,Processed session termination for sessionid: <*>,0.639,19.1,47
26,Processed session termination for sessionid: 0x14f3fdae8ba0001,partial,Processed session termination for sessionid: <*>,0.9756,Expiring session <*> timeout of <*> exceeded,0.6577,Established session <*> with negotiated timeout <*> for client <*>,0.6512,18.48,47
